Study_ID,Pair,Site,Sampling_Date,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Climate,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes,Area_watershed_km,DOC_mg_C_L,NO3_mg_N_L,DOC_uM_C,NO3_uM_N,Days_Between_Samples,Large_Gap_Flag,DOC_Interp,NO3_Interp,year,month,day
Coombs & Melack; 2013,Control,Rattlesnake,2005-01-03,10.1002/hyp.9508,Control_Reference_vs_Impact,35.526656,-118.856815,574,ha,BSk,Unburn,1,Individual,NA,NA,NA,NA,54.48695699,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.74,NA,0.76319880655893,NA,54.48695699,0,FALSE,NA,0.76319880655893,2005,1,3
Coombs & Melack; 2013,Control,Rattlesnake,2005-01-04,10.1002/hyp.9508,Control_Reference_vs_Impact,35.526656,-118.856815,574,ha,BSk,Unburn,1,Individual,NA,NA,NA,NA,33.05689552,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.74,NA,0.46302793554863997,NA,33.05689552,1,FALSE,NA,0.46302793554863997,2005,1,4
Coombs & Melack; 2013,Control,Rattlesnake,2005-01-05,10.1002/hyp.9508,Control_Reference_vs_Impact,35.526656,-118.856815,574,ha,BSk,Unburn,1,Individual,NA,NA,NA,NA,40.27272735,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.74,NA,0.56410009199145,NA,40.27272735,1,FALSE,NA,0.56410009199145,2005,1,5
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,104.6643579,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,1.4660336611053,NA,104.6643579,NA,FALSE,NA,1.4660336611053,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,473.7977292,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,6.6364847929044,NA,473.7977292,0,FALSE,NA,6.6364847929044,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,431.5618635,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,6.044887022044501,NA,431.5618635,0,FALSE,NA,6.044887022044501,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,472.5111292,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,6.6184633867044,NA,472.5111292,0,FALSE,NA,6.6184633867044,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,678.5253611,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,9.5041047329277,NA,678.5253611,0,FALSE,NA,9.5041047329277,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,700.6208815,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,9.8135966871705,NA,700.6208815,0,FALSE,NA,9.8135966871705,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,739.6146259,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,10.3597820649813,NA,739.6146259,0,FALSE,NA,10.3597820649813,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,488.1144437,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,6.8370190129059,NA,488.1144437,0,FALSE,NA,6.8370190129059,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,382.184606,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,5.353259776242,NA,382.184606,0,FALSE,NA,5.353259776242,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,219.0675439,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,3.0684790874073,NA,219.0675439,0,FALSE,NA,3.0684790874073,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,104.6910178,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,1.4664070863246,NA,104.6910178,0,FALSE,NA,1.4664070863246,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,229.4694073,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,3.2141779880511,NA,229.4694073,0,FALSE,NA,3.2141779880511,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,360.7455425,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,5.0529628137975005,NA,360.7455425,0,FALSE,NA,5.0529628137975005,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,423.1338717,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,5.9268361409019,NA,423.1338717,0,FALSE,NA,5.9268361409019,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,547.9122612,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.6746070426284,NA,547.9122612,0,FALSE,NA,7.6746070426284,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,562.8598113,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.883977376879101,NA,562.8598113,0,FALSE,NA,7.883977376879101,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,609.6517507,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.5393920720549,NA,609.6517507,0,FALSE,NA,8.5393920720549,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,616.1512274,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.630430242191801,NA,616.1512274,0,FALSE,NA,8.630430242191801,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,688.9386502,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,9.6499636733514,NA,688.9386502,0,FALSE,NA,9.6499636733514,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,707.7858171,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,9.9139559401197,NA,707.7858171,0,FALSE,NA,9.9139559401197,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,714.2859863,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,10.0050038101041,NA,714.2859863,0,FALSE,NA,10.0050038101041,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,499.1793424,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,6.9920050489968,NA,499.1793424,0,FALSE,NA,6.9920050489968,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,418.5951096,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,5.8632617001672,NA,418.5951096,0,FALSE,NA,5.8632617001672,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,549.8722835,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.7020610749845,NA,549.8722835,0,FALSE,NA,7.7020610749845,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,586.2654755,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.2118205153285,NA,586.2654755,0,FALSE,NA,8.2118205153285,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,627.208509,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.785309585563,NA,627.208509,0,FALSE,NA,8.785309585563,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,601.2147568,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.421215098497601,NA,601.2147568,0,FALSE,NA,8.421215098497601,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,607.7145798,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.5122581192586,NA,607.7145798,0,FALSE,NA,8.5122581192586,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,579.7729234,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.1208793380638,NA,579.7729234,0,FALSE,NA,8.1208793380638,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,627.2164724,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.785421128906801,NA,627.2164724,0,FALSE,NA,8.785421128906801,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,290.5825622,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,4.0701899487354,NA,290.5825622,0,FALSE,NA,4.0701899487354,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,457.6033958,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,6.4096507649706,NA,457.6033958,0,FALSE,NA,6.4096507649706,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,540.7902584,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.5748491494087995,NA,540.7902584,0,FALSE,NA,7.5748491494087995,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-27,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,590.1834426,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.2666994804982,NA,590.1834426,0,FALSE,NA,8.2666994804982,2004,12,27
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,604.4849229,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.467020315060301,NA,604.4849229,1,FALSE,NA,8.467020315060301,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,594.7412475,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.3305406537325,NA,594.7412475,0,FALSE,NA,8.3305406537325,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,519.3595045,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.274668579531499,NA,519.3595045,0,FALSE,NA,7.274668579531499,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,536.2601522,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.5113959518654,NA,536.2601522,0,FALSE,NA,7.5113959518654,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,559.0107445,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.8300634982115,NA,559.0107445,0,FALSE,NA,7.8300634982115,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,552.5168074,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.739102921251799,NA,552.5168074,0,FALSE,NA,7.739102921251799,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,529.7766021,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.4205808656147,NA,529.7766021,0,FALSE,NA,7.4205808656147,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,480.391035,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,6.728837227245,NA,480.391035,0,FALSE,NA,6.728837227245,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,334.1749669,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,4.680788761368301,NA,334.1749669,0,FALSE,NA,4.680788761368301,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,452.4604581,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,6.3376136366067,NA,452.4604581,0,FALSE,NA,6.3376136366067,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,546.0432981,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.648428476486701,NA,546.0432981,0,FALSE,NA,7.648428476486701,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,518.7508277,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.266142843593899,NA,518.7508277,0,FALSE,NA,7.266142843593899,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,374.4847411,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,5.2454077685877,NA,374.4847411,0,FALSE,NA,5.2454077685877,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,239.3141826,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,3.3520737556782003,NA,239.3141826,0,FALSE,NA,3.3520737556782003,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,64.4989626,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,0.9034369691382,NA,64.4989626,0,FALSE,NA,0.9034369691382,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-28,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,226.3193839,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,3.1700556102873,NA,226.3193839,0,FALSE,NA,3.1700556102873,2004,12,28
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-29,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,447.9303519,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,6.274160439063301,NA,447.9303519,1,FALSE,NA,6.274160439063301,2004,12,29
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-29,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,546.0623409,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.6486952089863,NA,546.0623409,0,FALSE,NA,7.6486952089863,2004,12,29
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-29,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,607.8028691,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.5134947874837,NA,607.8028691,0,FALSE,NA,8.5134947874837,2004,12,29
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-29,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,598.0578087,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.376995726460901,NA,598.0578087,0,FALSE,NA,8.376995726460901,2004,12,29
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-29,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,577.9150397,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,8.094855961077899,NA,577.9150397,0,FALSE,NA,8.094855961077899,2004,12,29
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-29,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,557.1227386,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.8036181995702005,NA,557.1227386,0,FALSE,NA,7.8036181995702005,2004,12,29
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-29,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,534.3856494,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,7.485139791145801,NA,534.3856494,0,FALSE,NA,7.485139791145801,2004,12,29
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-29,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,450.5824929,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,6.3113089780503,NA,450.5824929,0,FALSE,NA,6.3113089780503,2004,12,29
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-30,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,400.5602042,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,5.6106467802294,NA,400.5602042,1,FALSE,NA,5.6106467802294,2004,12,30
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-30,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,360.9196974,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,5.0554022014818,NA,360.9196974,0,FALSE,NA,5.0554022014818,2004,12,30
Coombs & Melack; 2013,Site_1,San Onofre,2004-12-30,10.1002/hyp.9508,Control_Reference_vs_Impact,34.472966,-120.187279,526,ha,BSk,Burn,0,Individual,NA,NA,NA,NA,193.2600648,umol_L,NA,NA,Figure_5,Exact coordinates from Hampton et al. 2022. Data from figure 5 is extracted using the digitizer tool. ,5.26,NA,2.7069937276536002,NA,193.2600648,0,FALSE,NA,2.7069937276536002,2004,12,30
