Study_ID,Fire_name,Fire_year,Site,comid,totdasqkm,streamorde,maxelevraw,minelevraw,maxelevsmo,minelevsmo,elevfixed,slope,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size,number_of_burn,State,group,latitude,longitude
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,4,NO3_Interp,-0.04505357676425826,NA,NA,NA,40.0155,-105.324566
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,5,NO3_Interp,0.27085562181965056,NA,NA,NA,40.039046,-105.393878
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,5,NO3_Interp,0.5277273450124165,NA,NA,NA,40.041668,-105.364823
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,5,NO3_Interp,0.13000465508024311,NA,NA,NA,40.0155,-105.324566
"Neary & Currier, 1982",Jumping Branch Wildfire,1978,Wash Branch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cfa,Temperate,0,NO3_Interp,1.5739271177981005,1,South Carolina,39,NA,NA
"Neary & Currier, 1982",Jumping Branch Wildfire,1978,Wash Branch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cfa,Temperate,1,NO3_Interp,0.7765290563903371,1,South Carolina,39,NA,NA
Oliver et al. 2012,Angora Fire,2007,Site 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csb,Temperate,1,NO3_Interp,0.7146311795090584,3,California,4,NA,NA
Oliver et al. 2012,Angora Fire,2007,Site 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csb,Temperate,1,NO3_Interp,0.1083671999910158,3,California,4,NA,NA
Oliver et al. 2012,Angora Fire,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csb,Temperate,1,NO3_Interp,-1.2564969709571707,3,California,4,NA,NA
Oliver et al. 2012,Angora Fire,2007,Site 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csb,Temperate,2,NO3_Interp,-0.5396214946346434,3,California,4,NA,NA
Oliver et al. 2012,Angora Fire,2007,Site 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csb,Temperate,2,NO3_Interp,-1.76671099295381,3,California,4,NA,NA
Oliver et al. 2012,Angora Fire,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csb,Temperate,2,NO3_Interp,-2.169919002561115,3,California,4,NA,NA
Rhea et al. 2021,Hayman Fire,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,Cold,>10,DOC_Interp,0.4142753540035392,NA,NA,NA,NA,NA
Rhea et al. 2021,Hayman Fire,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,Cold,>10,NO3_Interp,3.3673554612544394,NA,NA,NA,NA,NA
"Tiedemann, 1997",Safety Harbor Fire,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,Cold,0,NO3_Interp,0.700384479651557,NA,NA,NA,NA,NA
"Tiedemann, 1997",Safety Harbor Fire,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,Cold,1,NO3_Interp,2.032749426158762,NA,NA,NA,NA,NA
"Tiedemann, 1997",Safety Harbor Fire,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,Cold,2,NO3_Interp,3.4497656138466612,NA,NA,NA,NA,NA
Uzun et al. 2020,Rocky Fire,2015,Rocky Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csa,Temperate,1,DOC_Interp,-3.5873302571008643,NA,NA,NA,NA,NA
Uzun et al. 2020,Wragg Fire,2015,Wragg Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csa,Temperate,1,DOC_Interp,-2.781397262801667,NA,NA,NA,NA,NA
Uzun et al. 2020,Rocky Fire,2015,Rocky Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csa,Temperate,2,DOC_Interp,-3.488635457510704,NA,NA,NA,NA,NA
Uzun et al. 2020,Wragg Fire,2015,Wragg Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csa,Temperate,2,DOC_Interp,-2.8617192837255008,NA,NA,NA,NA,NA
Uzun et al. 2020,Rocky Fire,2015,Rocky Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csa,Temperate,1,NO3_Interp,-2.343905190475006,NA,NA,NA,NA,NA
Uzun et al. 2020,Wragg Fire,2015,Wragg Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csa,Temperate,1,NO3_Interp,-1.4038784576475674,NA,NA,NA,NA,NA
Uzun et al. 2020,Rocky Fire,2015,Rocky Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csa,Temperate,2,NO3_Interp,-2.523624055603431,NA,NA,NA,NA,NA
Uzun et al. 2020,Wragg Fire,2015,Wragg Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Csa,Temperate,2,NO3_Interp,-1.9038360329879964,NA,NA,NA,NA,NA
Wagner et al. 2015,High Park Fire,2012,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,1.5243,Dfb,Cold,1,DOC_Interp,-0.4217573948728868,4,Colorado,5,40.685031,-105.449096
Wagner et al. 2015,High Park Fire,2012,PNF,2900989,1254.2697,5,-9998,163245,165529,163245,0,0.00900986,16.718700000000002,Dfb,Cold,1,DOC_Interp,-0.6091057775083416,4,Colorado,5,40.703249,-105.2424
Writer et al. 2014,High Park Fire,2012,PNF,2900989,1254.2697,5,-9998,163245,165529,163245,0,0.00900986,16.718700000000002,Dfb,Cold,0,DOC_Interp,-0.3651480585147016,NA,NA,NA,40.703249,-105.2424
Writer et al. 2014,High Park Fire,2012,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,1.5243,Dfb,Cold,0,DOC_Interp,-0.4623748929438658,NA,NA,NA,40.685031,-105.449096
Writer et al. 2014,High Park Fire,2012,PNF,2900989,1254.2697,5,-9998,163245,165529,163245,0,0.00900986,16.718700000000002,Dfb,Cold,1,DOC_Interp,-0.619805853304341,NA,NA,NA,40.703249,-105.2424
Writer et al. 2014,High Park Fire,2012,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,1.5243,Dfb,Cold,1,DOC_Interp,-0.3994634277186648,NA,NA,NA,40.685031,-105.449096
Writer et al. 2014,High Park Fire,2012,PNF,2900989,1254.2697,5,-9998,163245,165529,163245,0,0.00900986,16.718700000000002,Dfb,Cold,0,NO3_Interp,-0.22445633786858216,NA,NA,NA,40.703249,-105.2424
Writer et al. 2014,High Park Fire,2012,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,1.5243,Dfb,Cold,0,NO3_Interp,-0.1726924417168119,NA,NA,NA,40.685031,-105.449096
Writer et al. 2014,High Park Fire,2012,PNF,2900989,1254.2697,5,-9998,163245,165529,163245,0,0.00900986,16.718700000000002,Dfb,Cold,1,NO3_Interp,-0.73752899074672,NA,NA,NA,40.703249,-105.2424
Writer et al. 2014,High Park Fire,2012,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,1.5243,Dfb,Cold,1,NO3_Interp,0.6342845717183738,NA,NA,NA,40.685031,-105.449096
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,22950879,1.9386,1,-9998,124759,137433,124759,0,0.0664604,100,Dfc,Cold,1,NO3_Interp,1.911426272610421,5,Montana,28,48.81409,-114.39971
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,22949989,77.9949,3,-9998,109888,113621,109888,0,0.02185597,24.087,Dfc,Cold,1,NO3_Interp,1.872308461156119,5,Montana,28,48.802772,-114.32894
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,22949619,105.8112,3,-9998,108366,109810,108366,0,0.00550514,13.8379,Dfc,Cold,1,NO3_Interp,2.332128722301076,5,Montana,28,48.797378,-114.286749
Hauer & Spencer 1998,Red Bench Fire,1988,Quartz_Creek,22949475,136.8477,3,-9998,104970,108277,105155,0,0.01675791,27.0952,Dfc,Cold,1,NO3_Interp,2.4314632577693227,5,Montana,28,48.72261,-114.225834
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,22950879,1.9386,1,-9998,124759,137433,124759,0,0.0664604,100,Dfc,Cold,2,NO3_Interp,0.9052735213660048,5,Montana,28,48.81409,-114.39971
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,22949989,77.9949,3,-9998,109888,113621,109888,0,0.02185597,24.087,Dfc,Cold,2,NO3_Interp,1.7931305712867058,5,Montana,28,48.802772,-114.32894
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,22949619,105.8112,3,-9998,108366,109810,108366,0,0.00550514,13.8379,Dfc,Cold,2,NO3_Interp,2.2632756340805606,5,Montana,28,48.797378,-114.286749
Hauer & Spencer 1998,Red Bench Fire,1988,Quartz_Creek,22949475,136.8477,3,-9998,104970,108277,105155,0,0.01675791,27.0952,Dfc,Cold,2,NO3_Interp,2.1956752619491127,5,Montana,28,48.72261,-114.225834
