"","Study_ID","Site","Sampling_Date","Latitude","Longitude","Area_watershed_km","Pair","Climate","Burn_Unburn","Time_Since_Fire","DOC_uM_C","NO3_uM_N","NO3_Interp","DOC_Interp"
"173","Rhea et al. 2021","U1",2017-06-29,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,390.216263561757
"174","Rhea et al. 2021","U1",2017-06-30,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,387.127260189978
"175","Rhea et al. 2021","U1",2017-07-01,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,384.038256818199
"176","Rhea et al. 2021","U1",2017-07-02,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,380.94925344642
"177","Rhea et al. 2021","U1",2017-07-03,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,377.860250074641
"178","Rhea et al. 2021","U1",2017-07-04,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,374.771246702862
"179","Rhea et al. 2021","U1",2017-07-05,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,371.682243331083
"180","Rhea et al. 2021","U1",2017-07-06,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,368.593239959304
"181","Rhea et al. 2021","U1",2017-07-07,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,365.504236587525,0.0202302850073116,0.0202302850073116,365.504236587525
"182","Rhea et al. 2021","U1",2017-07-08,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0185444279233689,361.601239085962
"183","Rhea et al. 2021","U1",2017-07-09,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0168585708394263,357.6982415844
"184","Rhea et al. 2021","U1",2017-07-10,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0151727137554837,353.795244082837
