Study_ID,Fire_name,Fire_year,site,comid,totdasqkm,streamorde,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PSF,2899449,693.8973,4,1.5243,Dfb,Cold,0,DOC_Interp,-0.4623748929438658
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PNF,2900989,1254.2697,5,16.7187,Dfb,Cold,1,DOC_Interp,-0.619805853304341
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PSF,2899449,693.8973,4,1.5243,Dfb,Cold,1,DOC_Interp,-0.3994634277186648
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PNF,2900989,1254.2697,5,16.7187,Dfb,Cold,0,NO3_Interp,-0.22445633786858216
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PSF,2899449,693.8973,4,1.5243,Dfb,Cold,0,NO3_Interp,-0.1726924417168119
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PNF,2900989,1254.2697,5,16.7187,Dfb,Cold,1,NO3_Interp,-0.73752899074672
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PSF,2899449,693.8973,4,1.5243,Dfb,Cold,1,NO3_Interp,0.6342845717183738
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,22950879,1.9386,1,100,Dfc,Cold,1,NO3_Interp,1.911426272610421
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,22949989,77.9949,3,24.087,Dfc,Cold,1,NO3_Interp,1.872308461156119
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,22949619,105.8112,3,13.8379,Dfc,Cold,1,NO3_Interp,2.332128722301076
Hauer & Spencer 1998,Red Bench Fire,1988,Quartz_Creek,22949475,136.8477,3,27.0952,Dfc,Cold,1,NO3_Interp,2.4314632577693227
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,22950879,1.9386,1,100,Dfc,Cold,2,NO3_Interp,0.9052735213660048
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,22949989,77.9949,3,24.087,Dfc,Cold,2,NO3_Interp,1.7931305712867058
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,22949619,105.8112,3,13.8379,Dfc,Cold,2,NO3_Interp,2.2632756340805606
Hauer & Spencer 1998,Red Bench Fire,1988,Quartz_Creek,22949475,136.8477,3,27.0952,Dfc,Cold,2,NO3_Interp,2.1956752619491127
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,22950879,1.9386,1,100,Dfc,Cold,3,NO3_Interp,0.5730656823751883
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,22949989,77.9949,3,24.087,Dfc,Cold,3,NO3_Interp,2.123237518978183
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,22949619,105.8112,3,13.8379,Dfc,Cold,3,NO3_Interp,1.1968588798283115
Hauer & Spencer 1998,Red Bench Fire,1988,Bowman_Creek,22949571,137.0853,3,5.7229,Dfc,Cold,3,NO3_Interp,1.2844252245417789
Hauer & Spencer 1998,Red Bench Fire,1988,Quartz_Creek,22949475,136.8477,3,27.0952,Dfc,Cold,3,NO3_Interp,1.4865638267876355
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,22950879,1.9386,1,100,Dfc,Cold,4,NO3_Interp,0.6206869330306183
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,22949989,77.9949,3,24.087,Dfc,Cold,4,NO3_Interp,2.355939128240543
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,22949619,105.8112,3,13.8379,Dfc,Cold,4,NO3_Interp,1.144040408000032
Hauer & Spencer 1998,Red Bench Fire,1988,Bowman_Creek,22949571,137.0853,3,5.7229,Dfc,Cold,4,NO3_Interp,0.5376175802346618
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,22950879,1.9386,1,100,Dfc,Cold,5,NO3_Interp,0.16719947859094442
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,22949989,77.9949,3,24.087,Dfc,Cold,5,NO3_Interp,2.4331464456086973
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,22949619,105.8112,3,13.8379,Dfc,Cold,5,NO3_Interp,1.464134057717891
Hauer & Spencer 1998,Red Bench Fire,1988,Bowman_Creek,22949571,137.0853,3,5.7229,Dfc,Cold,5,NO3_Interp,0.8274961058239492
Hickenbottom et al. 2023,Caldor Fire_Mosquito Fire,2021_2022,NA,NA,NA,NA,NA,Csb,Temperate,0,DOC_Interp,0.6030917563718091
Hickenbottom et al. 2023,Caldor Fire_Mosquito Fire,2021_2022,NA,NA,NA,NA,NA,Csb,Temperate,1,DOC_Interp,-0.00482902444212002
Hickenbottom et al. 2023,Caldor Fire_Mosquito Fire,2021_2022,NA,NA,NA,NA,NA,Csb,Temperate,1,DOC_Interp,0.2765406443670772
Hickenbottom et al. 2023,Caldor Fire_Mosquito Fire,2021_2022,NA,NA,NA,NA,NA,Csb,Temperate,0,NO3_Interp,0.5604775611436323
Hickenbottom et al. 2023,Caldor Fire_Mosquito Fire,2021_2022,NA,NA,NA,NA,NA,Csb,Temperate,1,NO3_Interp,0.4248453259394459
Hickenbottom et al. 2023,Caldor Fire_Mosquito Fire,2021_2022,NA,NA,NA,NA,NA,Csb,Temperate,1,NO3_Interp,-0.919819570352142
Crandall et al. 2021,Pole Creek Fire Complex,2018,Benjamin Slough,10349048,337.365,3,67,Csa,Temperate,0,DOC_Interp,0.809328715796117
Crandall et al. 2021,Pole Creek Fire Complex,2018,Payson,10350360,70.5753,3,90,Csa,Temperate,0,DOC_Interp,-0.501232466511102
Crandall et al. 2021,Pole Creek Fire Complex,2018,Spanish Fork Lower,10349108,2010.5073,5,24,Csa,Temperate,0,DOC_Interp,0.62791521729215
Crandall et al. 2021,Pole Creek Fire Complex,2018,Spanish Fork Upper,10349244,1642.5162,5,25,Csa,Temperate,0,DOC_Interp,0.802869522035744
Crandall et al. 2021,Pole Creek Fire Complex,2018,Benjamin Slough,10349048,337.365,3,67,Csa,Temperate,0,NO3_Interp,1.28743921860061
Crandall et al. 2021,Pole Creek Fire Complex,2018,Payson,10350360,70.5753,3,90,Csa,Temperate,0,NO3_Interp,-4.24608696789537
Crandall et al. 2021,Pole Creek Fire Complex,2018,Spanish Fork Lower,10349108,2010.5073,5,24,Csa,Temperate,0,NO3_Interp,0.361724196267397
Crandall et al. 2021,Pole Creek Fire Complex,2018,Spanish Fork Upper,10349244,1642.5162,5,25,Csa,Temperate,0,NO3_Interp,-1.01399784917132
Abbott et al. 2021,Anaktuvuk River wildfire,2007,NA,NA,NA,NA,NA,Dwc,Cold,>10,DOC_Interp,0.428539313567996
Abbott et al. 2021,Anaktuvuk River wildfire,2007,NA,NA,NA,NA,NA,Dwc,Cold,>10,DOC_Interp,0.404794545407272
Abbott et al. 2021,Anaktuvuk River wildfire,2007,NA,NA,NA,NA,NA,Dwc,Cold,>10,NO3_Interp,0.61270234501971
Abbott et al. 2021,Anaktuvuk River wildfire,2007,NA,NA,NA,NA,NA,Dwc,Cold,>10,NO3_Interp,0.730540647216058
Rhea et al. 2021,Hayman Fire_High Park Fire,2002_2012,NA,NA,NA,NA,NA,Dfc,Cold,>10,DOC_Interp,0.67513692475464
Rhea et al. 2021,Hayman Fire_High Park Fire,2002_2012,NA,NA,NA,NA,NA,Dfc,Cold,>10,DOC_Interp,-0.774248595960927
Rhea et al. 2021,Hayman Fire_High Park Fire,2002_2012,NA,NA,NA,NA,NA,Dfc,Cold,>10,DOC_Interp,-0.786783811960335
Rhea et al. 2021,Hayman Fire_High Park Fire,2002_2012,NA,NA,NA,NA,NA,Dfc,Cold,>10,NO3_Interp,2.1593115537283
Rhea et al. 2021,Hayman Fire_High Park Fire,2002_2012,NA,NA,NA,NA,NA,Dfc,Cold,>10,NO3_Interp,3.2167748383195
Rhea et al. 2021,Hayman Fire_High Park Fire,2002_2012,NA,NA,NA,NA,NA,Dfc,Cold,>10,NO3_Interp,2.65582826001489
"Mast & Clow, 2008",Rampage Fire_Others in Glacier NP,2003,Fish Creek,22958009,37.1574,3,72.86,NA,NA,NA,NA,NA
"Mast & Clow, 2008",Rampage Fire_Others in Glacier NP,2003,Lower MacDonald Creek,22957903,459.8946,4,31.3921,NA,NA,NA,NA,NA
"Mast & Clow, 2008",Rampage Fire_Others in Glacier NP,2003,Upper MacDonald Creek,22957933,287.7372,4,24.9105,NA,NA,NA,NA,NA
Andres Sanchez et al. 2023,Thompson Ridge Wildfire,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bayley et al. 1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bayley et al. 1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Betts & Jones, 2009",Boundary Fire,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bladon et al. 2008,Lost Creek Wildfire,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caldwell et al. 2020,Camp Branch Fire_Tellico Fire,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chow et al. 2019,Hayman Fire,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goodale et al. 2000,Historic Fires,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hall & Lombardozzi 2008,Hayman Fire,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harris et al. 2015,No name given,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hohner et al. 2016,Hewlett Gulch_High Park fire,2012_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klose et al. 2015,Jesusita Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mast et al. 2016,Fern Lake,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhoades et al. 2011,Hayman Fire,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhoades et al. 2019,Hayman Fire,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santos et al. 2019,Yosemite NP Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stephan et al. 2015,No name given,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tiedemann 1973,Safety Harbor Fire,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Writer & Murphy, 2012",Fourmile Canyon Fire,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
