Study_ID,Fire_name,Fire_year,site,comid,totdasqkm,streamorde,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size,Lat,Long,number_of_burn,State,group
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,4,NO3_Interp,0.10679525211943049,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,4,NO3_Interp,0.3707771777527453,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,4,NO3_Interp,-0.04505357676425826,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,5,NO3_Interp,0.27085562181965056,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,5,NO3_Interp,0.5277273450124165,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,5,NO3_Interp,0.13000465508024311,40.03333,-105.4167,NA,NA,NA
"Neary & Currier, 1982",Jumping Branch Wildfire,1978,NA,NA,NA,NA,NA,Cfa,Temperate,0,NO3_Interp,1.5739271177981005,36.095349,-82.265,1,South Carolina,39
"Neary & Currier, 1982",Jumping Branch Wildfire,1978,NA,NA,NA,NA,NA,Cfa,Temperate,1,NO3_Interp,0.7765290563903371,36.095349,-82.265,1,South Carolina,39
Oliver et al. 2012,Angora Fire,2007,Site 2,8943617,8.0658,2,76.4673,Csb,Temperate,1,NO3_Interp,0.7146311795090584,38.896382,-120.04163,3,California,4
Oliver et al. 2012,Angora Fire,2007,Site 3,8943613,130.7673,3,6.7889,Csb,Temperate,1,NO3_Interp,0.1083671999910158,38.896382,-120.04163,3,California,4
Oliver et al. 2012,Angora Fire,2007,NA,NA,NA,NA,NA,Csb,Temperate,1,NO3_Interp,-1.2564969709571707,38.896382,-120.04163,3,California,4
Oliver et al. 2012,Angora Fire,2007,Site 2,8943617,8.0658,2,76.4673,Csb,Temperate,2,NO3_Interp,-0.5396214946346434,38.896382,-120.04163,3,California,4
Oliver et al. 2012,Angora Fire,2007,Site 3,8943613,130.7673,3,6.7889,Csb,Temperate,2,NO3_Interp,-1.76671099295381,38.896382,-120.04163,3,California,4
Oliver et al. 2012,Angora Fire,2007,NA,NA,NA,NA,NA,Csb,Temperate,2,NO3_Interp,-2.169919002561115,38.896382,-120.04163,3,California,4
Rhea et al. 2021,Hayman Fire,2002,NA,NA,NA,NA,NA,Dfc,Cold,>10,DOC_Interp,0.4142753540035392,39.2,-105.3,NA,NA,NA
Rhea et al. 2021,Hayman Fire,2002,NA,NA,NA,NA,NA,Dfc,Cold,>10,NO3_Interp,3.3673554612544394,39.2,-105.3,NA,NA,NA
"Tiedemann, 1997",Safety Harbor Fire,1980,NA,NA,NA,NA,NA,Dsb,Cold,0,NO3_Interp,0.700384479651557,48.10267,-120.3523,NA,NA,NA
"Tiedemann, 1997",Safety Harbor Fire,1980,NA,NA,NA,NA,NA,Dsb,Cold,1,NO3_Interp,2.032749426158762,48.10267,-120.3523,NA,NA,NA
"Tiedemann, 1997",Safety Harbor Fire,1980,NA,NA,NA,NA,NA,Dsb,Cold,2,NO3_Interp,3.4497656138466612,48.10267,-120.3523,NA,NA,NA
Uzun et al. 2020,Rocky Fire,2015,Rocky Fire,8009327,2390.2362,6,12.8141,Csa,Temperate,1,DOC_Interp,-3.5873302571008643,38.923564,-122.326478,NA,NA,NA
Uzun et al. 2020,Wragg Fire,2015,Wragg Fire,15032969,16.5357,2,70.0648,Csa,Temperate,1,DOC_Interp,-2.781397262801667,38.512031,-122.097228,NA,NA,NA
Uzun et al. 2020,Rocky Fire,2015,Rocky Fire,8009327,2390.2362,6,12.8141,Csa,Temperate,2,DOC_Interp,-3.488635457510704,38.923564,-122.326478,NA,NA,NA
Uzun et al. 2020,Wragg Fire,2015,Wragg Fire,15032969,16.5357,2,70.0648,Csa,Temperate,2,DOC_Interp,-2.8617192837255008,38.512031,-122.097228,NA,NA,NA
Uzun et al. 2020,Rocky Fire,2015,Rocky Fire,8009327,2390.2362,6,12.8141,Csa,Temperate,1,NO3_Interp,-2.343905190475006,38.923564,-122.326478,NA,NA,NA
