Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Publication Stage,Open Access,Source,EID
Discharge of dissolved black carbon from a fire-affected intertidal system,"Dittmar, Thorsten; Paeng, Jiyoung; Gihring, Thomas M.; Suryaputra, I. G. N. A.; Huettel, Markus",NA,NA,NA,LIMNOLOGY AND OCEANOGRAPHY,JUL 2012,2012,57,4,NA,NA,NA,1171,1181,NA,10.4319/lo.2012.57.4.1171,NA,NA,58,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The role of savannas in the terrestrial Si cycle: A case-study from Lamto, Ivory Coast","Alexandre, Anne; Bouvet, Mickael; Abbadie, Luc",NA,NA,NA,GLOBAL AND PLANETARY CHANGE,AUG-SEP 2011,2011,78,3-4,NA,NA,NA,162,169,NA,10.1016/j.gloplacha.2011.06.007,NA,NA,58,4.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The effect of fire on mercury cycling in the soils of forested watersheds: Acadia National Park, Maine, USA","Amirbahman, A; Ruck, PL; Fernandez, IJ; Haines, TA; Kahl, JS",NA,NA,NA,WATER AIR AND SOIL POLLUTION,FEB 2004,2004,152,1-4,NA,NA,NA,313,331,NA,NA,NA,NA,58,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impact of Wildfire on Stream Nutrient Chemistry and Ecosystem Metabolism in Boreal Forest Catchments of Interior Alaska,"Betts, Emma F.; Jones, Jeremy B., Jr.",NA,NA,NA,ARCTIC ANTARCTIC AND ALPINE RESEARCH,NOV 2009,2009,41,4,NA,NA,NA,407,417,NA,10.1657/1938-4246-41.4.407,NA,NA,55,3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denitrification and nitrogen transport in a coastal aquifer receiving wastewater discharge,"Desimone, LA; Howes, BL",NA,NA,NA,ENVIRONMENTAL SCIENCE & TECHNOLOGY,APR 1996,1996,30,4,NA,NA,NA,1152,1162,NA,10.1021/es950366p,NA,NA,55,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Presence and transport of the antimicrobials triclocarban and triclosan in a wastewater-dominated stream and freshwater environment,"Gautam, Pradeep; Carsella, James S.; Kinney, Chad A.",NA,NA,NA,WATER RESEARCH,JAN 1 2014,2014,48,NA,NA,NA,NA,247,256,NA,10.1016/j.watres.2013.09.032,NA,NA,54,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water treatment implications after the High Park Wildfire in Colorado,"Writer, Jeffrey H.; Hohner, Amanda; Oropeza, Jill; Schmidt, Amanda; Cawley, Kaelin; Rosario-Ortiz, Fernando L.",NA,NA,NA,JOURNAL AMERICAN WATER WORKS ASSOCIATION,APR 2014,2014,106,4,NA,NA,NA,E189,E199,NA,10.5942/jawwa.2014.106.0055,NA,NA,53,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrogen transport from tallgrass prairie watersheds,"Dodds, WK; Blair, JM; Henebry, GM; Koelliker, JK; Ramundo, R; Tate, CM",NA,NA,NA,JOURNAL OF ENVIRONMENTAL QUALITY,SEP-OCT 1996,1996,25,5,NA,NA,NA,973,981,NA,10.2134/jeq1996.00472425002500050007x,NA,NA,52,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Effects of hurricane disturbance on stream water concentrations and fluxes in eight tropical forest watersheds of the Luquillo Experimental Forest, Puerto Rico","Schaefer, DA; McDowell, WH; Scatena, FN; Asbury, CE",NA,NA,NA,JOURNAL OF TROPICAL ECOLOGY,MAR 2000,2000,16,NA,2,NA,NA,189,207,NA,10.1017/S0266467400001358,NA,NA,51,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHARACTERISTICS AND ORIGINS OF HAZE IN THE CONTINENTAL UNITED-STATES,"MALM, WC",NA,NA,NA,EARTH-SCIENCE REVIEWS,AUG 1992,1992,33,1,NA,NA,NA,1,36,NA,10.1016/0012-8252(92)90064-Z,NA,NA,51,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Increases in humic dissolved organic carbon export from upland peat catchments: the role of temperature, declining sulphur deposition and changes in land management","Yallop, Adrian R.; Clutterbuck, Ben; Thacker, Jonathan",NA,NA,NA,CLIMATE RESEARCH,2010,2010,45,1,NA,NA,24,43,56,NA,10.3354/cr00884,NA,NA,50,3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
