Sample number,Location,Collection Date/Time (MDT),Water level (m),Discharge method,Q (m3/s),SC (uS/cm),pH (lab),pH (field),T (field),Ca (mg/L),K (mg/L),Mg (mg/L),Na (mg/L),SiO2 (mg/L),Cl (mg/L),SO4 (mg/L),Alkalinity (mg HCO3/L),NO3 (mg NO3/L),NH4 (mg NH4/L),DOC (mg/L),SUVA (L/mg/m),TSS (mg/L)
13FS035,DS3,7/15/13 4:58,--,U,0.2,409,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"10,122"
13FS036,DS3,7/15/13 5:00,--,U,0.19,397,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"8,968"
13FS037,DS3,7/15/13 5:09,--,U,0.2,368,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"9,427"
13FS038,DS3,7/15/13 5:29,--,U,0.22,343,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,833"
13FW112,DS3,7/15/13 5:49,--,U,0.22,327,--,7.91,21.3,29.3,2.82,11.3,10.2,9.89,26.3,49.8,71.9,1.25,<0.03,4.42,2.5,"1,690"
13FS039,DS3,7/15/13 6:09,--,U,0.22,305,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,638"
13FS040,DS3,7/15/13 6:29,--,U,0.25,289,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,762"
13FS041,DS3,7/15/13 6:49,--,U,0.4,270,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,721"
13FW113,DS3,7/15/13 7:09,--,U,0.42,302,--,7.99,21.3,26.1,2.81,11.3,9.33,10.3,26.9,42.4,66.4,0.94,<0.03,4.77,2.42,"1,150"
13FS042,DS3,7/15/13 7:29,--,U,0.4,285,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,851"
13FS043,DS3,7/15/13 7:49,--,U,0.37,264,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,502"
13FS044,DS3,7/15/13 8:09,--,U,0.37,252,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,017"
13FS045,DS3,7/15/13 8:29,--,U,0.37,263,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,425"
13FW114,DS3,7/15/13 8:49,--,U,0.37,270,--,8.01,21.4,23.6,2.74,9.99,8.36,8.83,20.1,40.6,62.2,1.41,0.06,5.27,2.53,960
13FW130,DS3,7/19/13 12:50,--,U,0.1,305,--,8.05,17.4,31.2,2.37,12.4,9.51,14.8,11.79,63,77.1,0.23,<0.03,2.62,2.12,38
13FS098,DS3,7/25/13 15:58,--,U,0.2,334,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,230
13FW132,DS3,7/25/13 16:00,--,U,0.27,341,--,7.74,22.3,35.1,3.05,13.2,10.7,14.1,12.05,76.3,84.1,<0.03,<0.03,3.33,2.03,270
13FS099,DS3,7/25/13 16:10,--,U,0.25,339,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,326
13FS100,DS3,7/25/13 16:20,--,U,0.23,341,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,397
13FS101,DS3,7/25/13 16:30,--,U,0.2,339,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,411
13FS102,DS3,7/25/13 16:40,--,U,0.18,336,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,377
13FS103,DS3,7/25/13 16:41,--,U,0.18,336,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,390
13FS104,DS3,7/25/13 17:00,--,U,0.17,329,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,518
13FS105,DS3,7/25/13 17:20,--,U,0.15,367,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,235"
13FW139,DS3,7/25/13 17:40,--,U,0.14,480,--,7.76,22.6,40.2,3.92,21.2,17.1,10.8,63.46,66.5,78.5,0.76,<0.03,5.17,2.65,"5,315"
13FS106,DS3,7/25/13 18:00,--,U,0.12,431,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,537"
13FS107,DS3,7/25/13 18:20,--,U,0.1,344,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,416"
13FS108,DS3,7/25/13 18:40,--,U,0.11,314,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,180"
13FW133,DS3,7/25/13 19:00,--,U,0.1,297,--,7.92,22.3,28.9,3,12.1,9.32,11.6,12.66,59.9,70.2,0.98,<0.03,4.37,2.26,691
13FW144,DS3,8/7/13 13:30,--,U,0.042,391,--,8.03,15,41.3,3.06,15.4,13.2,14.9,14.78,88.7,98,<0.03,<0.03,2.11,1.99,<6
13FW154,DS3,8/21/13 11:44,--,U,0.024,398,--,8.24,17.1,41.4,3.16,15.4,13.6,14.3,15.41,89.5,98.6,<0.03,<0.03,2.25,1.98,<6
13FW156,DS3,9/12/13 14:00,--,E,25,347,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,580"
13FW158,DS3,9/16/13 17:00,--,E,14,302,--,8.13,18.7,29,3.4,11.3,8.14,15.8,10,54.3,77,1.9,0.05,7.8,2.58,135
13FW164,DS3,9/19/13 12:30,--,E,2.5,334,--,7.98,11.4,33.7,3.2,13.4,9.17,15.8,12.1,63.5,83.2,1.55,0.04,6.2,2.42,141
13FW168,DS3,9/26/13 8:45,--,E,0.85,352,--,8.23,9.2,35.2,2.8,14.3,8.08,15,6.8,85.5,73.7,0.96,0.04,4.4,2.14,14
13FW176,DS3,10/17/13 11:10,--,M,0.27,470,--,7.57,5.7,49.1,3.3,19.6,13.1,14.8,19,88.4,135,0.59,<0.03,3.6,2.04,8
13FW185,DS3,11/6/13 14:45,--,M,0.15,494,--,8.08,4,52.5,3.4,21,14.1,14.1,19.6,121.6,147,0.37,<0.03,3.1,1.73,34
13FW196,DS3,12/16/13 14:15,--,M,0.059,463,--,8.03,0.2,49.4,3.21,20.4,13.7,12.9,18.68,96.9,139,0.62,<0.03,2.5,1.83,15
14FW005,DS3,2/27/14 13:00,--,E,0.09,440,--,8.29,0.3,45.8,2.96,18.9,12.3,11.4,17.9,99.3,116,0.71,--,1.9,1.89,74
14FW011,DS3,4/11/14 14:19,--,U,0.31,276,--,8.25,9.8,25.3,2.17,10.7,8.13,11.5,11.6,49.1,77,0.68,<0.04,2.7,1.88,70
14FW017,DS3,4/21/14 15:33,--,U,0.96,176,--,8.04,8.9,16.5,1.66,6.64,5.99,11.4,7.47,26.1,53,0.74,<0.04,4.4,2.4,138
14FW023,DS3,5/1/14 14:10,--,U,0.51,182.2,--,8.05,7.8,17.5,1.61,6.8,5.88,11.5,6.58,28.3,57,0.42,<0.04,3.5,2.22,30
14FW029,DS3,5/14/14 12:10,--,U,0.54,227,--,8.33,5.5,21.6,1.85,8.5,6.91,11.5,9.53,34.3,69,0.58,<0.04,3.3,2.25,210
14FW035,DS3,5/23/14 13:12,--,U,1.3,143,--,8.26,10.6,13.4,1.38,5.25,4.62,11,4.49,21,46,0.43,<0.04,4.1,2.42,23
14FW041,DS3,5/29/14 9:57,--,U,1.78,149.5,--,7.95,9,14.6,1.44,5.73,4.69,11.3,4.48,22,50,0.52,<0.04,3.9,2.44,59
14FW042,DS3,5/30/14 16:37,--,U,2.38,142.9,--,--,--,13.5,1.47,5.25,4.43,10.7,4.12,20.3,47,0.48,<0.04,4.1,2.44,347
14FS001,DS3,5/30/14 16:42,--,U,2.75,144.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,170
14FW043,DS3,5/30/14 16:47,--,U,2.86,145.9,--,--,--,14.1,1.53,5.26,4.4,10.8,4.13,20.6,48,0.47,<0.04,4.1,2.42,639
14FS002,DS3,5/30/14 16:52,--,U,2.78,151.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,426
14FS003,DS3,5/30/14 16:57,--,U,2.72,154,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,549
14FS004,DS3,5/30/14 17:02,--,U,2.72,155.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,549
14FS005,DS3,5/30/14 17:23,--,U,2.52,180.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,884"
14FW044,DS3,5/30/14 17:43,--,U,2.44,196,--,--,--,20.7,1.94,6.47,5.12,9.58,6.03,35,55,0.78,<0.04,3.9,2.22,"2,400"
14FS006,DS3,5/30/14 18:03,--,U,2.35,187.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,585"
14FS007,DS3,5/30/14 18:23,--,U,2.27,179.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,032"
14FS008,DS3,5/30/14 18:43,--,U,2.18,176,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,440"
14FW045,DS3,5/30/14 19:03,--,U,2.12,170.7,--,--,--,17.3,1.72,5.91,4.86,10.6,5.43,27.7,51,0.75,<0.04,3.9,2.37,842
14FS009,DS3,5/30/14 19:23,--,U,2.04,166.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,771
14FS010,DS3,5/30/14 19:43,--,U,2.04,164.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,593
14FS011,DS3,5/30/14 20:03,--,U,1.93,163.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,418
14FS012,DS3,5/30/14 20:23,--,U,1.9,161.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,365
14FS013,DS3,5/30/14 20:43,--,U,1.81,159.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,296
14FS014,DS3,5/30/14 21:03,--,U,1.87,158.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,261
14FS015,DS3,5/30/14 21:23,--,U,1.84,157.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,230
14FW046,DS3,5/30/14 21:43,--,U,1.81,156.9,--,--,--,15.2,1.53,5.67,4.66,10.9,4.89,23.4,50,0.59,<0.04,4,2.43,224
14FS016,DS3,5/30/14 22:03,--,U,1.84,156.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,170
14FS017,DS3,5/30/14 22:23,--,U,1.84,156.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,153
14FS018,DS3,5/30/14 22:43,--,U,1.78,155.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,131
14FS019,DS3,5/30/14 23:03,--,U,1.81,156.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,121
14FW051,DS3,6/12/14 14:00,--,U,0.71,173.4,--,8.03,11.6,16.8,1.55,6.58,5.15,11,4.8,25.5,58,0.3,<0.04,2.3,2.71,8
14FW057,DS3,6/20/14 14:30,--,U,0.45,199.5,--,8.2,16.1,19,1.74,7.7,5.78,11.2,6.13,29,67,0.11,<0.04,2.1,2.46,9
14FW063,DS3,7/3/14 12:27,--,U,0.27,231,--,8.39,16.9,22,2.5,9.22,6.5,11.9,6.14,33.9,76,0.07,<0.04,1.5,2.82,<6
14FW069,DS3,7/16/14 15:14,--,U,0.14,325,--,8.47,18.1,33.9,2.93,13,9.26,13.6,10.2,51.1,109,0.06,<0.04,2.3,2.26,9
14FW077,DS3,7/29/14 14:35,--,U,0.08,389,--,8.58,18.9,42.3,3.64,15.6,11.1,13.1,11.7,64.2,131,<0.03,<0.04,2.4,2.18,<6
14FW086,DS3,7/30/14 2:28,--,U,0.13,345,--,8.21,19.8,37.1,3.69,13.9,10.1,12.4,10.1,57.7,117,0.23,<0.04,3.8,2.11,47
14FS020,DS3,7/30/14 2:33,--,U,0.13,353,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43
14FS021,DS3,7/30/14 2:38,--,U,0.14,351,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46
14FS022,DS3,7/30/14 2:43,--,U,0.14,352,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50
14FS023,DS3,7/30/14 2:48,--,U,0.14,351,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,64
14FS024,DS3,7/30/14 2:53,--,U,0.14,352,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,75
14FS025,DS3,7/30/14 3:15,--,U,0.14,355,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,54
14FS026,DS3,7/30/14 3:35,--,U,0.15,355,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,85
14FS027,DS3,7/30/14 3:55,--,U,0.16,352,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100
14FS028,DS3,7/30/14 4:15,--,U,0.16,361,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,115
14FS029,DS3,7/30/14 4:35,--,U,0.16,362,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,121
14FW087,DS3,7/30/14 4:55,--,U,0.18,368,--,8.2,18.9,38.1,3.52,15.3,10.3,12.5,17.6,54.1,119,0.12,<0.04,3.7,2.29,142
14FS030,DS3,7/30/14 5:15,--,U,0.19,366,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,116
14FS031,DS3,7/30/14 5:35,--,U,0.2,368,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,116
14FS032,DS3,7/30/14 5:55,--,U,0.2,368,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,84
14FS033,DS3,7/30/14 6:15,--,U,0.21,374,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,85
14FS034,DS3,7/30/14 6:35,--,U,0.2,378,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80
14FS035,DS3,7/30/14 6:55,--,U,0.2,379,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,108
14FS036,DS3,7/30/14 7:15,--,U,0.2,379,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,108
14FS037,DS3,7/30/14 7:35,--,U,0.21,379,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140
14FW088,DS3,7/30/14 7:55,--,U,0.21,385,--,8.18,19.2,37.8,3.66,15.6,11.1,12.3,20.4,55.5,117,0.45,<0.04,3.7,2.34,158
14FS038,DS3,7/30/14 8:15,--,U,0.22,365,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,256
14FS039,DS3,7/30/14 8:35,--,U,0.25,354,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,242
14FS040,DS3,7/30/14 9:10,--,U,0.27,326,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,321
14FS041,DS3,7/30/14 10:10,--,U,0.34,367,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,553
14FS042,DS3,7/30/14 11:10,--,U,0.4,354,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,493
14FW089,DS3,7/30/14 12:10,--,U,0.4,380,--,8.03,18.4,38.3,3.53,15.2,11.3,12.3,23.5,48.7,119,0.76,<0.04,4,2.67,321
14FS043,DS3,7/30/14 13:10,--,U,0.4,374,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,286
14FS044,DS3,7/30/14 14:10,--,U,0.37,377,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,358
14FS045,DS3,7/30/14 15:10,--,U,0.34,371,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,247
14FS046,DS3,7/30/14 16:10,--,U,0.31,358,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,212
14FS047,DS3,7/30/14 17:10,--,U,0.28,344,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,168
14FS048,DS3,7/30/14 18:10,--,U,0.31,360,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,98
14FS049,DS3,7/30/14 19:10,--,U,0.28,363,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,84
14FS050,DS3,7/30/14 20:10,--,U,0.28,354,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,83
14FS051,DS3,7/30/14 21:10,--,U,0.28,343,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,77
14FS052,DS3,7/30/14 22:10,--,U,0.28,354,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,85
14FS053,DS3,7/30/14 23:10,--,U,0.28,339,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,84
14FS054,DS3,7/31/14 0:10,--,U,0.28,347,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,67
14FS055,DS3,7/31/14 1:10,--,U,0.26,352,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,53
14FS056,DS3,7/31/14 2:10,--,U,0.26,349,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37
14FS057,DS3,7/31/14 3:10,--,U,0.25,347,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33
14FS058,DS3,7/31/14 4:10,--,U,0.25,350,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26
14FS059,DS3,7/31/14 5:10,--,U,0.25,346,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23
14FS060,DS3,7/31/14 6:10,--,U,0.24,345,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22
14FS061,DS3,7/31/14 7:10,--,U,0.24,344,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20
14FW090,DS3,7/31/14 8:10,--,U,0.24,327,--,8.07,18,34.7,2.95,13.4,9.35,13.8,12.5,51.7,108,0.63,<0.04,2.7,2.34,23
14FW100,DS3,8/19/14 14:15,--,U,0.06,432,--,8.28,18.4,46.3,3.6,17.3,12.4,14.2,14.9,74.7,142,<0.03,<0.04,2.44,2.03,<6
14FW106,DS3,9/10/14 13:34,--,U,0.07,444,--,8.29,15.3,51.1,4.05,19.9,13,14.2,14.9,78,148,<0.03,<0.04,2.48,1.99,<6
14FW112,DS3,10/1/14 9:53,--,U,0.04,464,--,8.08,9.9,54.5,4.05,21,13.8,14.5,15.7,84.9,154,<0.03,<0.04,2.65,1.86,<6
14FW118,DS3,11/20/14 16:00,--,M,0.05,407,--,8.15,0.3,46,3.21,18.2,12.8,12.4,14.2,87.3,133,0.06,<0.04,1.8,1.63,<6
15FW005,DS3,1/30/15 14:40,--,M,0.04,427,--,8.44,3.1,46.5,3.12,17.9,14.2,12,18.1,95.9,137,0.36,<0.04,1.611,1.7,<6
15FW011,DS3,4/10/15 8:44,--,U,0.17,276,--,7.92,2.5,27.9,2.17,11.2,8.86,11.6,13.1,50.9,80.2,0.7,<0.04,2.153,1.94,<6
15FW015,DS3,5/1/15 12:30,--,U,1.671,218,--,7.95,8.4,20.3,1.84,8.37,6.38,13.1,8.95,33,64,1.1,<0.04,4.34,2.57,39
15FW019,DS3,5/12/15 9:12,--,U,5.098,223,--,7.88,5.9,22.2,2.2,9.21,6.58,14.3,8.17,35.9,70.6,1.5,<0.04,5.49,2.6,85
15FW021,DS3,5/22/15 9:15,--,U,3.965,207,--,7.85,7.2,20,1.93,8.32,6.15,13.9,7.49,32.1,68.8,1.1,<0.04,5.26,2.46,52
15FW026,DS3,5/29/15 8:56,--,U,1.728,247,--,7.96,8,24.8,2.09,10.2,7.07,13.9,8.07,40.6,82.9,0.92,<0.04,4.127,2.36,11
15FW029,DS3,6/16/15 9:55,--,U,0.935,205,--,7.97,11,19.5,1.63,8.08,5.77,11,6.24,31,72.2,0.12,<0.04,2.624,2.32,7
15FW032,DS3,6/30/15 11:55,--,U,0.312,278,--,8.25,16.7,27.4,2.32,11.1,7.77,12.5,8.13,44.5,96.3,0.04,<0.04,2.585,1.98,<6
15FW038,DS3,7/9/15 9:04,--,U,0.595,246,--,7.84,12.5,24.6,2.12,10,7,13.2,8.13,38.8,86.9,0.53,<0.04,3.53,2.71,18
15FW040,DS3,7/9/15 18:25,--,U,3.512,246,--,8.01,--,24,2.44,9.11,6.86,11.4,11.8,31.8,83.4,0.83,<0.04,3.81,2.74,"2,041"
15FW041,DS3,7/9/15 18:45,--,U,2.322,249,--,7.98,--,24.7,2.46,9.12,7.39,11.7,11.1,31.3,90.2,0.83,<0.04,3.94,2.71,"2,552"
15FW045,DS3,7/21/15 14:20,--,U,0.229,280,--,8.22,15.1,28.3,2.12,11.6,8.03,13,8.68,45.2,99.6,0.34,0.05,2.59,2.29,16
15FW054,DS3,8/11/15 9:20,--,U,0.091,380,--,8.04,15.5,43.5,3.5,16.6,11.3,13.2,11,72.2,132,<0.03,<0.04,2.28,2.11,<6
15FW060,DS3,9/1/15 9:05,--,U,0.04,428,--,7.84,13.8,46.2,3.79,18.8,12.7,11.9,13.6,90.4,145,0.07,<0.04,2.35,2.08,<6
15FW064,DS3,9/17/15 10:01,--,U,0.031,453,--,7.66,12.6,48.7,3.89,19.9,13.7,12,14.3,100,150,0.05,<0.04,2.37,1.9,<6
15FW069,DS3,10/13/15 10:16,--,M,0.04,479,--,8.09,9.3,48.4,3.83,18.4,13.4,12.5,13.6,99.6,146,<0.03,<0.04,2.26,2.19,<6
15FW075,DS3,11/3/15 14:02,--,M,0.034,441,--,8.32,7.9,47.5,3.38,19.5,13.7,12.2,15.6,97.5,142,0.06,<0.04,2.05,1.64,<6
