Study_ID,Comparison_ID,Pair_Burn,Pair_Unburn,pair_key,response_var,year,month,lnRR_mean,lnRR_sd,lnRR_n,lnRR_area_mean,lnRR_area_sd,lnRR_area_n,lnRR_var,lnRR_area_var
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,DOC,2016,4,0.30476495378637664,0.005119030323215762,2,-0.5688363693927279,0.005119030323215762,2,1.3102235725001236e-5,1.3102235725001236e-5
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1986,7,0.20584262974404813,0.1811039125414124,31,0.297192408332276,0.1811039125414124,31,0.0010580202302518564,0.0010580202302518564
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1986,8,0.5476064206839333,0.07585296313869286,31,0.6389561992721612,0.07585296313869283,31,1.856023231264483e-4,1.8560232312644817e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1986,9,1.078355222091962,0.1917739285094718,30,1.1697050006801901,0.1917739285094718,30,0.0012259079885318666,0.0012259079885318666
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1986,10,1.4283914883275945,0.026342111569920387,5,1.5197412669158223,0.02634211156992049,5,1.3878136839242668e-4,1.387813683924278e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1986,11,1.9101897152094667,0.007057936485021408,8,2.0015394937976945,0.007057936485021408,8,6.226808428324544e-6,6.226808428324544e-6
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1986,12,1.932979476270423,0.006898904360275145,8,2.024329254858651,0.006898904360275106,8,5.949360171527926e-6,5.949360171527858e-6
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1987,2,2.1068004585784554,0.08638980512585587,12,2.1981502371666832,0.08638980512585592,12,6.219332024736127e-4,6.219332024736136e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1987,3,2.5682528504806954,0.25074011172912897,31,2.6596026290689236,0.25074011172912897,31,0.002028083988062454,0.002028083988062454
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1987,4,3.5929531017331593,0.18658003869042214,30,3.684302880321387,0.1865800386904221,30,0.0011604036945906473,0.001160403694590647
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1987,5,1.8310083274048927,0.46784975649138505,31,1.9223581059931205,0.467849756491385,31,0.0070607546660983326,0.00706075466609833
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1987,6,0.8754199968321915,0.11274401933290658,30,0.9667697754204194,0.11274401933290655,30,4.237071298446271e-4,4.2370712984462686e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1987,7,0.6117783020598014,0.1673595215924852,30,0.7031280806480293,0.1673595215924852,30,9.336403155888509e-4,9.336403155888509e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1987,9,1.3194100341689476,0.03503840303113752,17,1.4107598127571754,0.03503840303113746,17,7.221704041014275e-5,7.221704041014253e-5
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1987,10,1.256683980939266,0.035584234779082013,31,1.348033759527494,0.03558423477908203,31,4.084637951009129e-5,4.084637951009132e-5
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1987,11,1.508021362844518,0.11436341461260262,28,1.599371141432746,0.11436341461260258,28,4.671068072090732e-4,4.6710680720907287e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1988,1,1.7766904292628642,0.004799106267717491,2,1.8680402078510923,0.004799106267717334,2,1.1515710484422652e-5,1.1515710484421898e-5
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1988,2,1.8753972077355225,0.052384896094596387,29,1.9667469863237506,0.0523848960945964,29,9.462680478764344e-5,9.46268047876435e-5
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1988,3,2.185788920258726,0.18271144692202435,31,2.277138698846954,0.18271144692202435,31,0.0010768862205270877,0.0010768862205270877
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1988,4,2.794272716102692,0.12830320666290565,20,2.88562249469092,0.12830320666290568,20,8.230856419992139e-4,8.230856419992142e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1988,6,0.8526418819245304,0.21843894977867379,29,0.9439916605127583,0.21843894977867379,29,0.0016453646476003439,0.0016453646476003439
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1988,7,0.04364964481307156,0.19953242631949508,8,0.13499942340129945,0.19953242631949514,8,0.0049766486441180915,0.004976648644118094
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1988,9,1.042493214256302,0.002104736797782357,22,1.1338429928445297,0.0021047367977823587,22,2.013598630881423e-7,2.013598630881426e-7
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1988,10,1.0470665633840865,4.480798770195357e-4,3,1.1384163419723146,4.480798770196462e-4,3,6.692519206328074e-8,6.692519206331375e-8
Hauer & Spencer 1998,Hauer_Spencer_1998_C1,Site_1,Control_1,Hauer & Spencer 1998 | Hauer_Spencer_1998_C1 | Site_1 | Control_1,NO3,1989,5,2.519831024407016,0.011969901236664247,24,2.7826155452370696,0.011969901236664249,24,5.9699389839790116e-06,5.969938983979013e-6
Hauer & Spencer 1998,Hauer_Spencer_1998_C1,Site_1,Control_1,Hauer & Spencer 1998 | Hauer_Spencer_1998_C1 | Site_1 | Control_1,NO3,1991,7,-0.2762309528734763,7.356138849316857e-4,20,-0.013446432043422673,7.35613884931701e-4,20,2.7056389385214368e-08,2.7056389385215496e-8
Hauer & Spencer 1998,Hauer_Spencer_1998_C1,Site_1,Control_1,Hauer & Spencer 1998 | Hauer_Spencer_1998_C1 | Site_1 | Control_1,NO3,1993,5,-0.38172026617323257,0.24201009749877836,19,-0.11893574534317894,0.24201009749877836,19,0.003082573015335169,0.003082573015335169
Hauer & Spencer 1998,Hauer_Spencer_1998_C1,Site_1,Control_1,Hauer & Spencer 1998 | Hauer_Spencer_1998_C1 | Site_1 | Control_1,NO3,1993,6,-0.8188682032684967,0.15496908986078184,30,-0.5560836824384431,0.1549690898607818,30,8.005139604093026e-4,8.005139604093022e-4
Hauer & Spencer 1998,Hauer_Spencer_1998_C1,Site_1,Control_1,Hauer & Spencer 1998 | Hauer_Spencer_1998_C1 | Site_1 | Control_1,NO3,1993,7,-0.2119762229790648,0.2272633766008052,21,0.05080829785098886,0.22726337660080523,21,0.0024594591592380674,0.002459459159238068
Hauer & Spencer 1998,Hauer_Spencer_1998_C2,Site_2,Control_2,Hauer & Spencer 1998 | Hauer_Spencer_1998_C2 | Site_2 | Control_2,NO3,1989,5,0.8094199334499694,0.2535857292873179,25,2.0051872899784953,0.25358572928731793,25,0.0025722288839272345,0.0025722288839272354
Hauer & Spencer 1998,Hauer_Spencer_1998_C2,Site_2,Control_2,Hauer & Spencer 1998 | Hauer_Spencer_1998_C2 | Site_2 | Control_2,NO3,1991,6,0.9308787693460849,0.05163842560217486,4,2.1266461258746103,0.05163842560217492,4,6.66631749667837e-4,6.666317496678387e-4
Hauer & Spencer 1998,Hauer_Spencer_1998_C2,Site_2,Control_2,Hauer & Spencer 1998 | Hauer_Spencer_1998_C2 | Site_2 | Control_2,NO3,1991,7,1.4467303415884876,0.28851219982328163,17,2.642497698117013,0.2885121998232816,17,0.004896428790992305,0.004896428790992303
Hauer & Spencer 1998,Hauer_Spencer_1998_C2,Site_2,Control_2,Hauer & Spencer 1998 | Hauer_Spencer_1998_C2 | Site_2 | Control_2,NO3,1993,3,1.2772969305747743,0.045487807824618545,29,2.4730642871032997,0.04548780782461854,29,7.134967795480786e-5,7.134967795480784e-5
Hauer & Spencer 1998,Hauer_Spencer_1998_C2,Site_2,Control_2,Hauer & Spencer 1998 | Hauer_Spencer_1998_C2 | Site_2 | Control_2,NO3,1993,4,1.2978707170240518,0.06870274686107825,30,2.493638073552577,0.06870274686107825,30,1.5733558087524657e-4,1.5733558087524657e-4
Hauer & Spencer 1998,Hauer_Spencer_1998_C2,Site_2,Control_2,Hauer & Spencer 1998 | Hauer_Spencer_1998_C2 | Site_2 | Control_2,NO3,1993,5,1.6856781922730382,0.18082497069908154,9,2.881445548801564,0.1808249706990814,9,0.0036330744475915216,0.0036330744475915164
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,NO3,1989,5,2.466047759789829,0.47824050884480096,25,3.27540411436994,0.47824050884480096,25,0.009148559372005366,0.009148559372005366
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,NO3,1989,6,0.12938958440653006,NA,1,0.938745938986641,NA,1,NA,NA
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,NO3,1990,4,2.325420130803567,0.1548685311708501,24,3.134776485383678,0.15486853117085,24,9.993442477923568e-4,9.993442477923557e-4
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,NO3,1990,5,1.6946017893016416,0.3662845530797398,31,2.5039581438817526,0.3662845530797397,31,0.004327883026607249,0.004327883026607247
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,NO3,1990,6,1.7785125268556679,0.5083107305963347,30,2.587868881435779,0.5083107305963348,30,0.008612659961312653,0.008612659961312656
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,NO3,1990,7,0.5805998280047473,0.34208113555978786,15,1.3899561825848583,0.34208113555978786,15,0.007801300220391597,0.007801300220391597
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,NO3,1991,5,2.5726327324398874,0.004847610276794782,6,3.3819890870199982,0.004847610276794923,6,3.916554232614397e-6,3.916554232614626e-6
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,NO3,1991,6,2.4905245784930594,0.13206520876959282,13,3.29988093307317,0.13206520876959274,13,0.0013416322590273952,0.0013416322590273934
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,NO3,1993,5,1.4332460494972996,0.9397862204732722,16,2.242602404077411,0.9397862204732723,16,0.055199883761964864,0.05519988376196488
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,NO3,1993,6,3.1555653220151783,1.2572702049859221,30,3.964921676595289,1.2572702049859221,30,0.05269094561151142,0.05269094561151142
Hauer & Spencer 1998,Hauer_Spencer_1998_C3,Site_3,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C3 | Site_3 | Control_3_4_5,NO3,1993,7,2.889341820044491,1.135953210271085,25,3.6986981746246017,1.135953210271085,25,0.05161558783700735,0.05161558783700735
Hauer & Spencer 1998,Hauer_Spencer_1998_C4,Site_4,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C4 | Site_4 | Control_3_4_5,NO3,1991,5,2.4084945535216193,0.09609727298539271,8,3.0125673543776808,0.09609727298539272,8,0.0011543357344036358,0.0011543357344036363
Hauer & Spencer 1998,Hauer_Spencer_1998_C4,Site_4,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C4 | Site_4 | Control_3_4_5,NO3,1991,6,2.689843516774961,0.12912813249794847,13,3.2939163176310218,0.12912813249794855,13,0.0012826211232621334,0.0012826211232621352
Hauer & Spencer 1998,Hauer_Spencer_1998_C4,Site_4,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C4 | Site_4 | Control_3_4_5,NO3,1993,4,-0.6438258232142302,0.02585632590025287,2,-0.039753022358169014,0.02585632590025299,2,3.342747945300437e-4,3.342747945300468e-4
Hauer & Spencer 1998,Hauer_Spencer_1998_C4,Site_4,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C4 | Site_4 | Control_3_4_5,NO3,1993,5,-1.0528242019315983,0.41537012793174405,31,-0.4487514010755372,0.4153701279317441,31,0.005565559457355917,0.005565559457355918
Hauer & Spencer 1998,Hauer_Spencer_1998_C4,Site_4,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C4 | Site_4 | Control_3_4_5,NO3,1993,6,2.949790268373337,1.3148190316786876,30,3.5538630692293984,1.3148190316786876,30,0.057624969535482726,0.057624969535482726
Hauer & Spencer 1998,Hauer_Spencer_1998_C4,Site_4,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C4 | Site_4 | Control_3_4_5,NO3,1993,7,3.844798576026435,0.5286255081113422,7,4.448871376882496,0.5286255081113422,7,0.03992070397513925,0.03992070397513925
Hauer & Spencer 1998,Hauer_Spencer_1998_C5,Site_5,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C5 | Site_5 | Control_3_4_5,NO3,1989,4,2.8476656078699114,0.028813245038289633,29,3.405487391075217,0.028813245038289647,29,2.862769274608697e-5,2.8627692746086998e-5
Hauer & Spencer 1998,Hauer_Spencer_1998_C5,Site_5,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C5 | Site_5 | Control_3_4_5,NO3,1989,5,2.5636217721938066,0.338491980469819,31,3.1214435553991122,0.338491980469819,31,0.0036960264787864617,0.0036960264787864617
Hauer & Spencer 1998,Hauer_Spencer_1998_C5,Site_5,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C5 | Site_5 | Control_3_4_5,NO3,1990,5,2.0474369185436028,0.24382713813018658,13,2.6052587017489084,0.24382713813018658,13,0.004573205637596699,0.004573205637596699
Hauer & Spencer 1998,Hauer_Spencer_1998_C5,Site_5,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C5 | Site_5 | Control_3_4_5,NO3,1990,6,2.615526373032171,0.19106979962971288,6,3.1733481562374766,0.19106979962971288,6,0.006084611388423104,0.006084611388423104
Hauer & Spencer 1998,Hauer_Spencer_1998_C5,Site_5,Control_3_4_5,Hauer & Spencer 1998 | Hauer_Spencer_1998_C5 | Site_5 | Control_3_4_5,NO3,1991,6,2.4965759490770547,0.11855904136597012,14,3.0543977322823603,0.11855904136597008,14,0.001004017592115558,0.0010040175921155574
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C1,Site_1,Control_1,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C1 | Site_1 | Control_1,DOC,2022,7,0.7623091835487513,0.07548945288586233,29,0.14821663663450085,0.07548945288586231,29,1.9650543093126995e-4,1.9650543093126984e-4
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C1,Site_1,Control_1,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C1 | Site_1 | Control_1,DOC,2022,8,0.7098004303434157,0.1901133557687788,31,0.09570788342916524,0.19011335576877886,31,0.0011659060658602018,0.0011659060658602025
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C1,Site_1,Control_1,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C1 | Site_1 | Control_1,DOC,2022,9,0.9569465824844834,0.09291576532501188,20,0.3428540355702329,0.09291576532501185,20,4.31666972296634e-4,4.3166697229663376e-4
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C1,Site_1,Control_1,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C1 | Site_1 | Control_1,NO3,2022,7,-1.458068455246715,0.5976958931764834,13,-2.072161002160965,0.5976958931764834,13,0.027480029286156483,0.027480029286156483
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C1,Site_1,Control_1,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C1 | Site_1 | Control_1,NO3,2022,8,1.4965487844828655,1.3113549242013594,31,0.8824562375686154,1.3113549242013594,31,0.05547263668474687,0.05547263668474687
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C1,Site_1,Control_1,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C1 | Site_1 | Control_1,NO3,2022,9,1.0591154299130845,0.6207409896988807,20,0.4450228829988341,0.6207409896988807,20,0.019265968814617295,0.019265968814617295
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C2,Site_2,Control_2,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C2 | Site_2 | Control_2,DOC,2022,9,0.8332892368696152,0.25623317796730466,4,0.25974572707899857,0.2562331779673047,4,0.016413860372806104,0.01641386037280611
Hickenbottom et al. 2023,Hickenbottom_et_al_2023_C2,Site_2,Control_2,Hickenbottom et al. 2023 | Hickenbottom_et_al_2023_C2 | Site_2 | Control_2,NO3,2022,9,-0.6608779199911599,1.8173100064290557,2,-1.2344214297817762,1.8173100064290555,2,1.6513078297335873,1.6513078297335868
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2004,3,0.17167147282102024,0.17124138987758028,15,-0.5403244332975925,0.17124138987758028,15,0.001954907573813697,0.001954907573813697
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2004,4,0.23056546525278673,0.3512346972706403,30,-0.48143044086582604,0.3512346972706403,30,0.004112193752226611,0.004112193752226611
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2004,5,0.3328082077815108,0.28274355149419683,31,-0.3791876983371019,0.2827435514941969,31,0.0025788359971468237,0.0025788359971468246
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2004,6,0.45472039928606567,0.08442274851877657,30,-0.25727550683254713,0.08442274851877657,30,2.3757334891548638e-4,2.3757334891548638e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2004,7,0.6129125989376449,0.0766014172066008,31,-0.09908330718096788,0.07660141720660077,31,1.8928313284063603e-4,1.892831328406359e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2004,8,0.42752520740586186,0.07279520698320012,2,-0.28447069871275077,0.07279520698320016,2,0.0026495710798634738,0.002649571079863477
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2005,4,0.54419076966543,0.027599759406049675,20,-0.1678051364531828,0.027599759406049668,20,3.8087335963591375e-5,3.8087335963591355e-5
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2005,5,0.5714596376525655,0.07757119375325348,31,-0.14053626846604733,0.07757119375325348,31,1.9410613226789652e-4,1.9410613226789652e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2005,6,0.5769888139176109,0.021503757266083456,30,-0.13500709220100185,0.02150375726608348,30,1.5413719218621233e-5,1.5413719218621267e-5
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2005,7,0.5601157532964416,0.09601177978052762,31,-0.15188015282217118,0.09601177978052762,31,2.973632856975655e-4,2.973632856975655e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2005,8,0.7095680510076707,0.15848742325014292,31,-0.0024278551109420225,0.15848742325014292,31,8.102665589829014e-4,8.102665589829014e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2005,9,1.3566056409789404,0.2013222043525039,30,0.6446097348603277,0.20132220435250386,30,0.0013510209988450447,0.001351020998845044
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2005,10,0.8055218434179497,0.16616613674193845,31,0.09352593729933702,0.16616613674193845,31,8.90683387088406e-4,8.90683387088406e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2005,11,0.5000060747654185,0.07077242998940254,17,-0.21198983135319427,0.07077242998940252,17,2.946315792120521e-4,2.946315792120518e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2006,1,-0.010407434407621607,0.023556998932620872,21,-0.7224033405262343,0.02355699893262088,21,2.6425342795785757e-5,2.642534279578577e-5
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2006,2,0.013595957170303664,0.14450395394972979,28,-0.6983999489483091,0.14450395394972979,28,7.457640252537724e-4,7.457640252537724e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2006,3,0.3835440410350609,0.04239857941419164,31,-0.32845186508355184,0.04239857941419164,31,5.7988372140048873e-5,5.7988372140048873e-5
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2006,4,0.3671393161863322,0.062134246944717565,30,-0.3448565899322806,0.06213424694471752,30,1.2868882144623814e-4,1.2868882144623795e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2006,5,0.459372592574688,0.10180227368917863,31,-0.25262331354392475,0.10180227368917863,31,3.3431299768665906e-4,3.3431299768665906e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2006,6,0.5839829815794961,0.1869541427109525,30,-0.12801292453911664,0.18695414271095248,30,0.0011650617158929066,0.0011650617158929062
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2006,7,0.33788153876911947,0.17862030546396135,31,-0.3741143673494933,0.17862030546396132,31,0.0010292004362593182,0.0010292004362593176
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2006,8,0.5543684450660903,0.16615124663765024,31,-0.15762746105252243,0.16615124663765024,31,8.905237664272671e-4,8.905237664272671e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2006,9,0.3966802783560864,NA,1,-0.31531562776252636,NA,1,NA,NA
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2007,4,0.7135818986674248,0.028951788795566265,6,0.001585992548812121,0.028951788795566324,6,1.3970101241051272e-4,1.397010124105133e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2007,5,0.6818419635009797,0.06602794478658999,31,-0.03015394261763306,0.06602794478658999,31,1.4063514492712828e-4,1.4063514492712828e-4
Mast & Clow; 2008,Mast_Clow_2008_C1,Site_1,Control_1,Mast & Clow; 2008 | Mast_Clow_2008_C1 | Site_1 | Control_1,DOC,2007,6,0.6745083254558745,0.07177540129205749,30,-0.03748758066273838,0.07177540129205753,30,1.7172360768786296e-4,1.7172360768786315e-4
