Study_ID,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-01-29,Burn,1,Individual,1.7,mg_L,,,0.62,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-01-30,Burn,1,Individual,1.7,mg_L,,,0.63,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-01-31,Burn,1,Individual,1.6,mg_L,,,0.58,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-01,Burn,1,Individual,1.8,mg_L,,,0.78,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-02,Burn,1,Individual,2,mg_L,,,0.71,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-03,Burn,1,Individual,2.1,mg_L,,,0.54,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-16,Burn,1,Individual,2.5,mg_L,,,0.74,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-17,Burn,1,Individual,4.7,mg_L,,,1.11,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-18,Burn,1,Individual,3.4,mg_L,,,1.15,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-19,Burn,1,Individual,2.5,mg_L,,,1.03,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-20,Burn,1,Individual,1.9,mg_L,,,0.57,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-21,Burn,1,Individual,2.5,mg_L,,,1.07,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-22,Burn,1,Individual,2.8,mg_L,,,1.09,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-23,Burn,1,Individual,2.6,mg_L,,,1.05,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-24,Burn,1,Individual,2.3,mg_L,,,0.79,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-25,Burn,1,Individual,2.2,mg_L,,,0.94,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-26,Burn,1,Individual,1.8,mg_L,,,0.75,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-27,Burn,1,Individual,1.3,mg_L,,,0.59,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-02-28,Burn,1,Individual,1.8,mg_L,,,0.59,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-03-01,Burn,1,Individual,1.8,mg_L,,,0.76,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-03-02,Burn,1,Individual,1.9,mg_L,,,0.71,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-03-03,Burn,1,Individual,3.1,mg_L,,,0.73,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-03-04,Burn,1,Individual,2.5,mg_L,,,0.88,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-03-05,Burn,1,Individual,3,mg_L,,,0.91,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-03-06,Burn,1,Individual,2.1,mg_L,,,0.85,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-03-07,Burn,1,Individual,2.1,mg_L,,,0.67,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-03-08,Burn,1,Individual,2.1,mg_L,,,0.88,mg_L,,,Supplemental,
