Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,43.371,TOC_mg_L,,,0.491599649,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,29.465,TOC_mg_L,,,0.64623987,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,25.754,TOC_mg_L,,,0.788051277,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,37.087,TOC_mg_L,,,1.003171077,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,28.287,TOC_mg_L,,,0.325122693,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,32.035,TOC_mg_L,,,0.0328998,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,42.735,TOC_mg_L,,,0.012295572,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,35.702,TOC_mg_L,,,0.020945255,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,28.876,TOC_mg_L,,,0.030952846,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,,TOC_mg_L,,,0.005016196,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,32.943,TOC_mg_L,,,1.041087073,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,19.527,TOC_mg_L,,,0.942747302,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,40.098,TOC_mg_L,,,0.164579606,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,47.148,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,76.374,TOC_mg_L,,,0.163457317,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,95.486,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,58.494,TOC_mg_L,,,0.005599042,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,,TOC_mg_L,,,0.581698969,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,20.105,TOC_mg_L,,,0.594050345,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,19.424,TOC_mg_L,,,0.510666156,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,10.428,TOC_mg_L,,,0.577315223,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,18.653,TOC_mg_L,,,0.42859027,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,,TOC_mg_L,,,0.639574343,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,9.134,TOC_mg_L,,,0.452716376,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,18.396,TOC_mg_L,,,0.463430823,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,10.458,TOC_mg_L,,,0.28395144,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,24.983,TOC_mg_L,,,0.24320802,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,,TOC_mg_L,,,0.056015227,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,11.346,TOC_mg_L,,,0.073240188,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,10.654,TOC_mg_L,,,0.08275174,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,,TOC_mg_L,,,0.314290437,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,,TOC_mg_L,,,0.155359477,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,27.958,TOC_mg_L,,,0.005208412,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,,TOC_mg_L,,,0.335303898,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,17.115,TOC_mg_L,,,0.385261246,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,28.874,TOC_mg_L,,,0.028788875,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,27.939,TOC_mg_L,,,1.4741975,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,8.166,TOC_mg_L,,,0.360552293,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,,TOC_mg_L,,,0.046193651,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,23.978,TOC_mg_L,,,0.639518539,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,20.215,TOC_mg_L,,,1.248809688,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,,TOC_mg_L,,,0.733071532,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,,TOC_mg_L,,,0.416722532,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,,TOC_mg_L,,,0.733753586,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/5/18,Burned,0,Individual,14.234,TOC_mg_L,,,0.392199594,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,14.143,TOC_mg_L,,,0.020207397,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,14.228,TOC_mg_L,,,0.020784042,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,8.731,TOC_mg_L,,,0.021652111,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,12.133,TOC_mg_L,,,0.028894283,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,17.167,TOC_mg_L,,,0.028168826,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,13.135,TOC_mg_L,,,0.032930802,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,13.831,TOC_mg_L,,,0.06656226,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,,TOC_mg_L,,,0.062234318,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,12.964,TOC_mg_L,,,0.201813549,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,9.852,TOC_mg_L,,,0.305231521,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,12.081,TOC_mg_L,,,0.056002826,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,6.145,TOC_mg_L,,,0.021900131,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,13.086,TOC_mg_L,,,0.255522193,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,15.532,TOC_mg_L,,,0.145513099,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,15.775,TOC_mg_L,,,0.127277458,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,9.853,TOC_mg_L,,,0.073674222,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,15.325,TOC_mg_L,,,0.021993138,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/6/18,Burned,0,Individual,14.607,TOC_mg_L,,,0.018806086,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,5.393,TOC_mg_L,,,0.034629737,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,13.179,TOC_mg_L,,,0.205595847,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,28.726,TOC_mg_L,,,0.20968197,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,,TOC_mg_L,,,0.172658845,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,11.053,TOC_mg_L,,,0.03037,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,5.759,TOC_mg_L,,,0.05593462,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,,TOC_mg_L,,,0.025471613,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,5.879,TOC_mg_L,,,0.010181205,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,11.452,TOC_mg_L,,,0.185679874,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,,TOC_mg_L,,,0.135592315,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,,TOC_mg_L,,,0.258380619,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,12.219,TOC_mg_L,,,0.013740286,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,,TOC_mg_L,,,0.161869992,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,,TOC_mg_L,,,0.241682699,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,4.078,TOC_mg_L,,,0.273764034,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,24.949,TOC_mg_L,,,0.259397499,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,5.756,TOC_mg_L,,,0.359969447,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,11.408,TOC_mg_L,,,0.278321395,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,11.233,TOC_mg_L,,,0.279170862,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,11.666,TOC_mg_L,,,0.196400521,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,11.725,TOC_mg_L,,,0.233194228,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,11.318,TOC_mg_L,,,0.124989477,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,5.46,TOC_mg_L,,,0.255832217,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/7/18,Burned,0,Individual,10.986,TOC_mg_L,,,0.018502262,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,11.442,TOC_mg_L,,,0.112755911,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,,TOC_mg_L,,,0.046020037,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,12.052,TOC_mg_L,,,0.126496196,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,,TOC_mg_L,,,0.034908759,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,,TOC_mg_L,,,0.124189614,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,21.69,TOC_mg_L,,,0.180149036,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,13.773,TOC_mg_L,,,0.093968426,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,13.155,TOC_mg_L,,,0.22866167,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,13.748,TOC_mg_L,,,0.250481195,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,12.905,TOC_mg_L,,,0.415525837,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,12.444,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,12.563,TOC_mg_L,,,0.154032573,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,12.916,TOC_mg_L,,,0.020511221,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,31.651,TOC_mg_L,,,0.01530901,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,14.329,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,14.162,TOC_mg_L,,,0.01556943,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,,TOC_mg_L,,,0.028776474,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,11.223,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,10.241,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,,TOC_mg_L,,,0.023369647,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,9.511,TOC_mg_L,,,0.018167436,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,4.606,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,11.035,TOC_mg_L,,,0.259459504,mg_L,,,,
