Study_ID,Comparison_ID,Pair_Burn,Pair_Unburn,response_var,year,lnRR_mean,lnRR_var,lnRR_n,lnRR_sd,pair_key,candidate_pair_id,shared_control_id,n_pairs_sharing_reference,Fire_ID_Analysis,Pairing_Type_Analysis,Include_Analysis,Analysis_Decision_Status,Coauthor_Confirmation,shared_reference,Composite_Reference_Candidate,Site_Burn,time_since_fire,Area_watershed_km,maxelevsmo,slope,tmean8110ws,precip8110ws,forest_cover,urban_cover,grassland_cover,wetland_cover,ag_cover,omws,rckdepws,clayws,glacial_till,bfiws,permws,runoffws,burn_percent_fire_year,burn_sev_high,burn_sev_mod,burn_sev_low,followup_year,post_fire_year,shared_control_year_id,reference_family_weight,effect_size_source,variance_status,pairing_confirmation_pending,matched_doc_no3
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,DOC,2016,0.0634960942570269,1.226064001878385e-4,124,0.12330123123185743,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,Burd et al 2018 | Control_1,1,Burd_et_al_2018_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Notawohka Creek,3,321,,,,,,,,,,,,,,,,,,,,,1,3,Burd et al 2018 | Control_1 | DOC | 2016,1,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Uzun et al. 2020,Uzun_et_al_2020_C2,Site_2,Control_1_2,DOC,2016,-0.1182682517028464,0.00203466638247783,46,0.30593243305341206,Uzun et al. 2020 | Uzun_et_al_2020_C2 | Site_2 | Control_1_2,Uzun et al. 2020 | Uzun_et_al_2020_C2 | Site_2 | Control_1_2,Uzun et al. 2020 | Control_1_2,2,Uzun_et_al_2020_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Wragg Fire First Rainy Season Initial Flush,1,1491.4917,,,14.5434221411,826.6379380289999,11.760000000000002,1.56,30.87,0,0,0.59,48.76,24.62,0,29.6645,3.37,304.1241,70.0648,45.44,12,6.81,1,1,Uzun et al. 2020 | Control_1_2 | DOC | 2016,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Uzun et al. 2020,Uzun_et_al_2020_C2,Site_2,Control_1_2,DOC,2017,0.0755102503897204,0.00155954681814358,83,0.35978102493866704,Uzun et al. 2020 | Uzun_et_al_2020_C2 | Site_2 | Control_1_2,Uzun et al. 2020 | Uzun_et_al_2020_C2 | Site_2 | Control_1_2,Uzun et al. 2020 | Control_1_2,2,Uzun_et_al_2020_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Wragg Fire Second Rainy Season,2,1491.4917,,,14.5434221411,826.6379380289999,11.760000000000002,1.56,30.87,0,0,0.59,48.76,24.62,0,29.6645,3.37,304.1241,70.0648,45.44,12,6.81,2,2,Uzun et al. 2020 | Control_1_2 | DOC | 2017,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Wagner et al. 2015,Wagner_et_al_2015_C1,Site_1,Control_1_2,DOC,2013,0.02423137593176489,3.646226647693017e-5,152,0.0744463867793017,Wagner et al. 2015 | Wagner_et_al_2015_C1 | Site_1 | Control_1_2,Wagner et al. 2015 | Wagner_et_al_2015_C1 | Site_1 | Control_1_2,Wagner et al. 2015 | Control_1_2,2,Wagner_et_al_2015_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,PSF,1,963.26,,,1.65668779873,723.394409686,73.8,0.59,4.98,2.37,0.01,0.5353328741875779,111.61280186563631,12.680889821879983,8.14,63.3405,15.391453377899008,39.7848,1.5243,0.43,0.41,0.48,1,1,Wagner et al. 2015 | Control_1_2 | DOC | 2013,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Wagner et al. 2015,Wagner_et_al_2015_C2,Site_2,Control_1_2,DOC,2013,0.10929191974859112,1.0618704186799406e-4,152,0.1270449934626906,Wagner et al. 2015 | Wagner_et_al_2015_C2 | Site_2 | Control_1_2,Wagner et al. 2015 | Wagner_et_al_2015_C2 | Site_2 | Control_1_2,Wagner et al. 2015 | Control_1_2,2,Wagner_et_al_2015_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,PNF,1,1255.15,,,2.86815251131,640.204106668,63.31,0.69,13.6,1.95,0.02,0.5346003000790022,109.2732020696984,13.06237323599542,5.85,64.2162,14.402906245761974,39.4966,16.7187,4.03,4.64,4.95,1,1,Wagner et al. 2015 | Control_1_2 | DOC | 2013,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Writer et al. 2014,Writer_et_al_2014_C1,Site_1,Control_1_2,DOC,2012,0.07278982952899715,1.3621752908445648e-4,83,0.1063299342330742,Writer et al. 2014 | Writer_et_al_2014_C1 | Site_1 | Control_1_2,Writer et al. 2014 | Writer_et_al_2014_C1 | Site_1 | Control_1_2,Writer et al. 2014 | Control_1_2,2,Writer_et_al_2014_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,PNF,0,1255.15,,,2.86815251131,640.204106668,63.31,0.69,13.6,1.95,0.02,0.5346003000790022,109.2732020696984,13.06237323599542,5.85,64.2162,14.402906245761974,39.4966,16.7187,4.03,4.64,4.95,1,0,Writer et al. 2014 | Control_1_2 | DOC | 2012,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Writer et al. 2014,Writer_et_al_2014_C1,Site_1,Control_1_2,DOC,2013,0.21886121268497105,1.6840186442252395e-4,61,0.10135341005498512,Writer et al. 2014 | Writer_et_al_2014_C1 | Site_1 | Control_1_2,Writer et al. 2014 | Writer_et_al_2014_C1 | Site_1 | Control_1_2,Writer et al. 2014 | Control_1_2,2,Writer_et_al_2014_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,PNF,1,1255.15,,,2.86815251131,640.204106668,63.31,0.69,13.6,1.95,0.02,0.5346003000790022,109.2732020696984,13.06237323599542,5.85,64.2162,14.402906245761974,39.4966,16.7187,4.03,4.64,4.95,2,1,Writer et al. 2014 | Control_1_2 | DOC | 2013,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Writer et al. 2014,Writer_et_al_2014_C2,Site_2,Control_1_2,DOC,2012,0.04411273617214902,8.163968216822522e-5,83,0.08231703116586928,Writer et al. 2014 | Writer_et_al_2014_C2 | Site_2 | Control_1_2,Writer et al. 2014 | Writer_et_al_2014_C2 | Site_2 | Control_1_2,Writer et al. 2014 | Control_1_2,2,Writer_et_al_2014_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,PSF,0,963.26,,,1.65668779873,723.394409686,73.8,0.59,4.98,2.37,0.01,0.5353328741875779,111.61280186563631,12.680889821879983,8.14,63.3405,15.391453377899008,39.7848,1.5243,0.43,0.41,0.48,1,0,Writer et al. 2014 | Control_1_2 | DOC | 2012,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Writer et al. 2014,Writer_et_al_2014_C2,Site_2,Control_1_2,DOC,2013,0.12448403651763092,6.39377405904607e-5,61,0.06245159866663224,Writer et al. 2014 | Writer_et_al_2014_C2 | Site_2 | Control_1_2,Writer et al. 2014 | Writer_et_al_2014_C2 | Site_2 | Control_1_2,Writer et al. 2014 | Control_1_2,2,Writer_et_al_2014_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,PSF,1,963.26,,,1.65668779873,723.394409686,73.8,0.59,4.98,2.37,0.01,0.5353328741875779,111.61280186563631,12.680889821879983,8.14,63.3405,15.391453377899008,39.7848,1.5243,0.43,0.41,0.48,2,1,Writer et al. 2014 | Control_1_2 | DOC | 2013,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Coombs & Melack; 2013,Coombs_Melack_2013_C1,Site_1,Control_1_2_3,NO3,2004,1.6413547247701965,0.00757109686115914,5,0.1945648588666405,Coombs & Melack; 2013 | Coombs_Melack_2013_C1 | Site_1 | Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C1 | Site_1 | Control_1_2_3,Coombs & Melack; 2013 | Control_1_2_3,3,Coombs_Melack_2013_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,San Onofre,0,5.26,52417,0.13779638,16.2598319726,691.1467927189999,4.17,1.6600000000000001,2.91,0.2,0,2.5924974146845914,48.49447382063246,19.31287713841369,0,28.1444,2.7641264904095384,123.9785,98.9419,11.47,28.3,32.38,1,0,Coombs & Melack; 2013 | Control_1_2_3 | NO3 | 2004,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Coombs & Melack; 2013,Coombs_Melack_2013_C1,Site_1,Control_1_2_3,NO3,2005,1.862029982557692,0.03364209469638567,5,0.4101347016309743,Coombs & Melack; 2013 | Coombs_Melack_2013_C1 | Site_1 | Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C1 | Site_1 | Control_1_2_3,Coombs & Melack; 2013 | Control_1_2_3,3,Coombs_Melack_2013_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,San Onofre,1,5.26,52417,0.13779638,16.2598319726,691.1467927189999,4.17,1.6600000000000001,2.91,0.2,0,2.5924974146845914,48.49447382063246,19.31287713841369,0,28.1444,2.7641264904095384,123.9785,98.9419,11.47,28.3,32.38,2,1,Coombs & Melack; 2013 | Control_1_2_3 | NO3 | 2005,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Coombs & Melack; 2013,Coombs_Melack_2013_C2,Site_2,Control_1_2_3,NO3,2004,0.01022704586179518,0.02625467027158718,6,0.3968979990243376,Coombs & Melack; 2013 | Coombs_Melack_2013_C2 | Site_2 | Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C2 | Site_2 | Control_1_2_3,Coombs & Melack; 2013 | Control_1_2_3,3,Coombs_Melack_2013_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Gaviota,0,52.16,5464,0.01765023,15.7303728311,616.010430239,28.64,2.69,29.03,0.46,0,1.9036483348927469,64.29416548209271,26.069786776687582,0,28.7991,3.1836088479007034,117.1945,12.969,0.19,2.26,4.95,1,0,Coombs & Melack; 2013 | Control_1_2_3 | NO3 | 2004,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Coombs & Melack; 2013,Coombs_Melack_2013_C2,Site_2,Control_1_2_3,NO3,2005,0.5858263209295171,0.03143679873241097,5,0.3964643661945609,Coombs & Melack; 2013 | Coombs_Melack_2013_C2 | Site_2 | Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C2 | Site_2 | Control_1_2_3,Coombs & Melack; 2013 | Control_1_2_3,3,Coombs_Melack_2013_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Gaviota,1,52.16,5464,0.01765023,15.7303728311,616.010430239,28.64,2.69,29.03,0.46,0,1.9036483348927469,64.29416548209271,26.069786776687582,0,28.7991,3.1836088479007034,117.1945,12.969,0.19,2.26,4.95,2,1,Coombs & Melack; 2013 | Control_1_2_3 | NO3 | 2005,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Control_1_2_3,NO3,2004,0.4754831500823841,0.00296720964135952,5,0.12180331771670928,Coombs & Melack; 2013 | Coombs_Melack_2013_C3 | Site_3 | Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C3 | Site_3 | Control_1_2_3,Coombs & Melack; 2013 | Control_1_2_3,3,Coombs_Melack_2013_C3,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Arroyo Hondo,0,10.85,2708,0.0195175,16.3194393942,709.970459882,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,21.01257653470108,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,1,0,Coombs & Melack; 2013 | Control_1_2_3 | NO3 | 2004,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Control_1_2_3,NO3,2005,1.0071823644981577,0.02111611598555219,5,0.32493165424095105,Coombs & Melack; 2013 | Coombs_Melack_2013_C3 | Site_3 | Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C3 | Site_3 | Control_1_2_3,Coombs & Melack; 2013 | Control_1_2_3,3,Coombs_Melack_2013_C3,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Arroyo Hondo,1,10.85,2708,0.0195175,16.3194393942,709.970459882,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,21.01257653470108,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,2,1,Coombs & Melack; 2013 | Control_1_2_3 | NO3 | 2005,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Crandall et al. 2021,Crandall_et_al_2021_C1,Site_1,Control_1,NO3,2018,1.148422622813304,0.1064731687757898,42,2.114680375040912,Crandall et al. 2021 | Crandall_et_al_2021_C1 | Site_1 | Control_1,Crandall et al. 2021 | Crandall_et_al_2021_C1 | Site_1 | Control_1,Crandall et al. 2021 | Control_1,1,Crandall_et_al_2021_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Benjamin Slough,0,319,137637,1e-5,9.59039648985,527.81694779,17.720000000000002,14.190000000000001,16.31,3.42,34.730000000000004,1.148633617445975,135.1456180821655,21.986507967851075,0,74.5288,5.330080639135863,247.5776,13.8405,3.87,4.82,3.61,1,0,Crandall et al. 2021 | Control_1 | NO3 | 2018,1,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Crandall et al. 2021,Crandall_et_al_2021_C2,Site_2,Control_2,NO3,2018,-4.15558386727907,0.04817296691974128,53,1.5978633379442335,Crandall et al. 2021 | Crandall_et_al_2021_C2 | Site_2 | Control_2,Crandall et al. 2021 | Crandall_et_al_2021_C2 | Site_2 | Control_2,Crandall et al. 2021 | Control_2,1,Crandall_et_al_2021_C2,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Payson,0,54,143663,0.00302931,9.50152202028,533.1562009740001,33.35,6.21,17.07,1.44,12.72,1.5956663671758011,119.432832185285,22.771971648198065,0,74,5.011345712289109,248,20.2356,6.06,8.37,4.67,1,0,Crandall et al. 2021 | Control_2 | NO3 | 2018,1,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Crandall et al. 2021,Crandall_et_al_2021_C3,Site_3,Control_3_4,NO3,2018,0.32724520095297355,0.0185152652664523,24,0.6666081055574222,Crandall et al. 2021 | Crandall_et_al_2021_C3 | Site_3 | Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C3 | Site_3 | Control_3_4,Crandall et al. 2021 | Control_3_4,2,Crandall_et_al_2021_C3,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Spanish Fork Lower,0,1712,137637,0.00220679,6.807836152030001,618.348894465,51.449999999999996,2.8,23.97,0.26,2.48,1.081142788947946,126.3685992839426,25.552428182737145,1,71.9081,4.8090831570650545,246.1762,26.5655,4.4,9.42,8.03,1,0,Crandall et al. 2021 | Control_3_4 | NO3 | 2018,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Crandall et al. 2021,Crandall_et_al_2021_C4,Site_4,Control_3_4,NO3,2018,-0.7060976982728983,0.10522705307076571,18,1.3762583170588951,Crandall et al. 2021 | Crandall_et_al_2021_C4 | Site_4 | Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C4 | Site_4 | Control_3_4,Crandall et al. 2021 | Control_3_4,2,Crandall_et_al_2021_C4,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Spanish Fork Upper,0,1650,146394,0.01123244,6.63015159845,592.520823296,46.81,1.9300000000000002,29.33,0.17,1.06,1.1008208730287472,124.53089813963328,26.13503212593454,0,71.3404,4.0795669356067386,246.0235,32.6928,5.42,11.59,9.88,1,0,Crandall et al. 2021 | Control_3_4 | NO3 | 2018,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,NO3,1989,-1.0698598048488752,0.00663139321593606,209,1.1772685259237323,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,Gerla & Galloway; 1998 | Control_1,1,Gerla_Galloway_1998_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Jones Creek,1,64.23,214565,0.03628398,0.55106015658788,860.5103160907761,3.5999999999999996,0,3.72,0.88,0,0.5162354179944028,114.43765260882816,10.328271495469536,0,72.5856,9.57308279531159,379.5934,96.1969,43.67,15.31,13.1,1,1,Gerla & Galloway; 1998 | Control_1 | NO3 | 1989,1,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,NO3,1990,1.2920497232831936,0.01684030868085762,177,1.726480418803468,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,Gerla & Galloway; 1998 | Control_1,1,Gerla_Galloway_1998_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Jones Creek,2,64.23,214565,0.03628398,0.55106015658788,860.5103160907761,3.5999999999999996,0,3.72,0.88,0,0.5162354179944028,114.43765260882816,10.328271495469536,0,72.5856,9.57308279531159,379.5934,96.1969,43.67,15.31,13.1,2,2,Gerla & Galloway; 1998 | Control_1 | NO3 | 1990,1,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,NO3,1991,1.4389922147206464,0.01022488310416764,167,1.3067346625830345,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,Gerla & Galloway; 1998 | Control_1,1,Gerla_Galloway_1998_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Jones Creek,3,64.23,214565,0.03628398,0.55106015658788,860.5103160907761,3.5999999999999996,0,3.72,0.88,0,0.5162354179944028,114.43765260882816,10.328271495469536,0,72.5856,9.57308279531159,379.5934,96.1969,43.67,15.31,13.1,3,3,Gerla & Galloway; 1998 | Control_1 | NO3 | 1991,1,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,NO3,1992,2.1267434839237955,0.00227939001325985,166,0.6151249809600783,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,Gerla & Galloway; 1998 | Control_1,1,Gerla_Galloway_1998_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Jones Creek,4,64.23,214565,0.03628398,0.55106015658788,860.5103160907761,3.5999999999999996,0,3.72,0.88,0,0.5162354179944028,114.43765260882816,10.328271495469536,0,72.5856,9.57308279531159,379.5934,96.1969,43.67,15.31,13.1,4,4,Gerla & Galloway; 1998 | Control_1 | NO3 | 1992,1,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,NO3,1993,1.8053997625902405,0.00432013211586925,149,0.8023089711978294,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,Gerla & Galloway; 1998 | Control_1,1,Gerla_Galloway_1998_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Jones Creek,5,64.23,214565,0.03628398,0.55106015658788,860.5103160907761,3.5999999999999996,0,3.72,0.88,0,0.5162354179944028,114.43765260882816,10.328271495469536,0,72.5856,9.57308279531159,379.5934,96.1969,43.67,15.31,13.1,5,5,Gerla & Galloway; 1998 | Control_1 | NO3 | 1993,1,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,NO3,1985,1.482217089339393,6.896763799764333e-4,59,0.20171987115455323,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,Gluns & Toews; 1989 | Control_1_2,2,Gluns_Toews_1989_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,East Fork Kootenai,0,20.9,75050,1e-5,3.5054252268300004,1006.62677284,81.30000000000001,0.11,8.65,0.12000000000000001,0.060000000000000005,1.0377293896560178,117.02003343849006,9.233598657056197,0,72.5069,7.795702377172657,287.8297,,,,,1,0,Gluns & Toews; 1989 | Control_1_2 | NO3 | 1985,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,NO3,1986,1.0734730477169836,0.00362645014276949,198,0.8473707147809391,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,Gluns & Toews; 1989 | Control_1_2,2,Gluns_Toews_1989_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,East Fork Kootenai,1,20.9,75050,1e-5,3.5054252268300004,1006.62677284,81.30000000000001,0.11,8.65,0.12000000000000001,0.060000000000000005,1.0377293896560178,117.02003343849006,9.233598657056197,0,72.5069,7.795702377172657,287.8297,,,,,2,1,Gluns & Toews; 1989 | Control_1_2 | NO3 | 1986,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,NO3,1987,1.5806680753649678,0.00524841635118286,217,1.067195552936144,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,Gluns & Toews; 1989 | Control_1_2,2,Gluns_Toews_1989_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,East Fork Kootenai,2,20.9,75050,1e-5,3.5054252268300004,1006.62677284,81.30000000000001,0.11,8.65,0.12000000000000001,0.060000000000000005,1.0377293896560178,117.02003343849006,9.233598657056197,0,72.5069,7.795702377172657,287.8297,,,,,3,2,Gluns & Toews; 1989 | Control_1_2 | NO3 | 1987,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,NO3,1988,1.006024676511833,0.00737308804675001,152,1.058635623387954,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,Gluns & Toews; 1989 | Control_1_2,2,Gluns_Toews_1989_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,East Fork Kootenai,3,20.9,75050,1e-5,3.5054252268300004,1006.62677284,81.30000000000001,0.11,8.65,0.12000000000000001,0.060000000000000005,1.0377293896560178,117.02003343849006,9.233598657056197,0,72.5069,7.795702377172657,287.8297,,,,,4,3,Gluns & Toews; 1989 | Control_1_2 | NO3 | 1988,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,NO3,1985,1.4767485125948303,9.829197251042263e-4,92,0.3007135093566447,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,Gluns & Toews; 1989 | Control_1_2,2,Gluns_Toews_1989_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Middle Fork Kootenai,0,34.5,75050,1e-5,3.5054252268300004,1006.62677284,81.30000000000001,0.11,8.65,0.12000000000000001,0.060000000000000005,1.0377293896560178,117.02003343849006,9.233598657056197,0,72.5069,7.795702377172657,287.8297,,,,,1,0,Gluns & Toews; 1989 | Control_1_2 | NO3 | 1985,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,NO3,1986,1.2241910762403485,0.00380173015628483,227,0.9289740284188026,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,Gluns & Toews; 1989 | Control_1_2,2,Gluns_Toews_1989_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Middle Fork Kootenai,1,34.5,75050,1e-5,3.5054252268300004,1006.62677284,81.30000000000001,0.11,8.65,0.12000000000000001,0.060000000000000005,1.0377293896560178,117.02003343849006,9.233598657056197,0,72.5069,7.795702377172657,287.8297,,,,,2,1,Gluns & Toews; 1989 | Control_1_2 | NO3 | 1986,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,NO3,1987,1.7403125674407716,0.00365486825956432,240,0.936572678597576,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,Gluns & Toews; 1989 | Control_1_2,2,Gluns_Toews_1989_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Middle Fork Kootenai,2,34.5,75050,1e-5,3.5054252268300004,1006.62677284,81.30000000000001,0.11,8.65,0.12000000000000001,0.060000000000000005,1.0377293896560178,117.02003343849006,9.233598657056197,0,72.5069,7.795702377172657,287.8297,,,,,3,2,Gluns & Toews; 1989 | Control_1_2 | NO3 | 1987,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,NO3,1988,1.6162268949377576,0.00426010113648306,144,0.7832334030501773,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,Gluns & Toews; 1989 | Control_1_2,2,Gluns_Toews_1989_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Middle Fork Kootenai,3,34.5,75050,1e-5,3.5054252268300004,1006.62677284,81.30000000000001,0.11,8.65,0.12000000000000001,0.060000000000000005,1.0377293896560178,117.02003343849006,9.233598657056197,0,72.5069,7.795702377172657,287.8297,,,,,4,3,Gluns & Toews; 1989 | Control_1_2 | NO3 | 1988,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
