DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Zr90,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,NH4-N,Ortho-P,FI,HIX,SUVA254,SUVA280,dD,d18O,SamplingNote
7/16/2014 0:00,ZOBUnburnStemflow,NM_P250,PrcpStemflow,,Grab,Precipitation,-9999,-9999,-9999,141.88,4.13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: ZOB Unburn Stemflow
7/17/2014 0:00,FluxBurnThroughfall,NM_P251,PrcpThroughfall,,Grab,Precipitation,-9999,-9999,2.6,6.46,0.62,0.66,25.5,0.74,0.49,14.66,4.83,5.34,0.00191,5.62782,198.77671,356.23945,24.26029,261.89846,255.90079,2171.70309,3710.40748,2.09688,0.28723,0.34789,6.97931,53.34706,0.01081,0.24778,0.58687,2.93933,0.22488,0.00059,25.48705,24.47247,-9999,723.31821,0.01305,0.12136,0.43054,0.04368,34.92288,32.90626,47.98491,6.58117,22.20503,3.60116,39.14405,4.51705,0.76701,5.05651,0.97381,1.74879,0.3366,2.36128,0.3565,0.07723,0.01599,4.80244,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: Flux Burn Throughfall
7/17/2014 0:00,FluxBurnStemflow,NM_P252,PrcpStemflow,,Grab,Precipitation,-9999,-9999,1.4,87.65,0.86,0.66,36.53,0.74,0.49,2.33,38.19,7.26,0.1236,15.55659,195.35744,874.78378,161.38386,749.81345,1293.8357,9276.12905,8778.1495,1.8094,0.3484,0.06763,767.44877,142.4786,0.58017,1.0505,1.26815,333.38114,0.58767,0.33508,59.3592,92.24822,-9999,651.00635,0.01508,0.25879,152.93408,0.04351,112.23,126.12433,202.02499,22.62043,88.95091,15.82502,7.3436,17.50375,2.92537,16.61371,3.09309,5.84482,1.23332,7.3047,1.02179,0.08545,0.70649,7.91446,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: Flux Burn Stemflow
7/17/2014 0:00,FluxOpenPrcp,NM_P253,PrcpOpen,,Grab,Precipitation,-9999,-9999,2.44,3.38,0.51,0.66,8.48,0.74,0.49,17.55,9.61,5.46,0.00191,4.31724,135.79827,262.82772,6.93358,392.56966,225.65028,730.52731,3751.79401,2.30335,0.34819,0.16753,4.68562,39.25825,0.01755,0.68747,10.2475,7.81482,0.28687,0.6787,30.5892,7.14103,-9999,979.98281,0.01304,0.14277,0.45327,0.03761,47.97094,15.45687,14.49645,2.1912,8.49198,0.23629,31.81704,3.17498,0.22011,2.56779,0.50731,0.12941,0.42185,0.77277,0.10371,0.07279,0.54495,1.54479,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: Flux Open Precipitation
7/17/2014 0:00,FluxUnburnThroughfall,NM_P254,PrcpThroughfall,,Grab,Precipitation,-9999,-9999,1.49,11.16,0.52,8.13,16.04,0.74,0.49,8.65,6.32,5.08,0.00191,5.56137,296.39087,217.23883,38.31513,202.14016,178.00402,2477.07951,1833.15957,2.58684,0.20513,0.17883,53.93065,30.78742,0.00346,1.12674,0.78752,9.10327,0.43231,0.9932,10.56297,20.34985,-9999,1050.49825,0.01205,0.19442,0.28722,0.04569,14.75367,33.07162,56.75388,6.12986,24.98315,6.64636,52.24498,4.19252,0.81368,4.05755,0.65491,1.35139,0.5131,2.7109,0.54422,0.07479,0.0553,4.19199,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: Flux Unburn Throughfall
7/17/2014 0:00,FluxUnburnStemflow,NM_P255,PrcpStemflow,,Grab,Precipitation,-9999,-9999,0.68,451.18,1.26,0.66,90.66,0.74,0.49,7.77,79.4,27.7,0.12237,74.13409,2171.6212,1173.69643,361.55912,4275.936,280.39831,8831.18482,11153.30538,0.81834,0.73271,0.4659,1012.59382,245.2777,0.89307,2.60132,4.1263,499.78736,1.53433,0.66378,61.88559,111.17523,-9999,12.88464,0.00815,0.96564,1415.59554,0.08965,967.6294,113.98721,209.98587,28.34823,119.02754,3.66768,539.73553,20.55717,3.00923,22.54218,4.51396,11.45455,2.32239,15.58529,2.24959,0.08689,1.97573,11.70792,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: Flux Unburn Stemflow
7/17/2014 0:00,ZOBBurnThroughfall,NM_P256,PrcpThroughfall,,Grab,Precipitation,-9999,-9999,2.93,10.21,0.52,0.66,10.6,0.74,0.49,0.4,17.19,4.56,0.00191,9.02252,262.37724,371.7949,17.22539,328.97642,355.2556,2417.6161,4084.09152,1.98209,0.35215,0.3583,2.23451,63.22415,0.01259,0.44163,0.738,3.48457,0.40539,0.64082,21.06475,28.61593,-9999,735.53743,0.02266,0.10725,1.11673,0.03383,40.34299,45.95427,59.46499,9.34951,33.36444,5.13702,34.42842,6.24883,0.71912,5.46968,1.06715,1.97948,0.63819,2.65086,0.5987,0.07238,0.02987,5.87001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: ZOB Burn Throughfall
7/17/2014 0:00,ZOBBurnStemflow,NM_P257,PrcpStemflow,,Grab,Precipitation,-9999,-9999,6.05,344.41,0.58,29.79,66.51,3.36,0.49,0.4,162.34,5.03,0.24516,51.85566,255.71425,3032.001,184.63771,876.70373,7312.473,35375.34678,15504.8296,3.13559,0.6353,0.10752,1121.15363,319.05388,0.92055,2.06294,3.66052,107.24258,0.68308,0.0006,91.53207,134.65947,-9999,648.60696,0.01656,0.20169,82.53948,0.04108,196.25996,116.02554,216.36415,27.60551,105.43861,19.79022,63.68493,21.22648,3.60885,24.57976,4.93798,15.64729,2.49879,15.19618,2.27572,0.0915,0.44775,29.90718,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: ZOB Burn Stemflow
7/17/2014 0:00,ZOBOpenPrcp,NM_P258,PrcpOpen,,Grab,Precipitation,-9999,-9999,1.16,2.34,0.59,0.66,8.03,0.74,0.49,32.9,13.92,3.87,0.00191,2.02759,159.02178,100.11039,4.87966,190.77349,95.88615,475.75176,2380.73288,1.19263,0.19281,0.41635,8.63171,39.48147,0.04024,0.72525,0.38321,1.76973,0.14903,1.64405,6.50998,7.92772,-9999,746.64527,0.00726,0.12061,0.4443,0.02703,9.31168,17.65708,24.0445,2.66283,9.18456,1.43482,54.24782,1.9971,0.17176,1.46851,0.23561,0.12073,0.14532,0.24994,0.31279,0.07448,0.0266,1.76972,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: ZOB Open Precipitation
7/17/2014 0:00,ZOBUnburnThroughfall,NM_P259,PrcpThroughfall,,Grab,Precipitation,-9999,-9999,0.88,29.39,0.73,0.66,22.27,0.74,0.49,1.86,4.06,2.69,0.25457,10.47587,288.38252,257.44422,30.50955,290.18167,95.33044,5050.35261,4396.72981,1.68418,0.19121,0.17735,33.2884,82.21032,0.00463,1.17308,1.72161,10.42918,0.22398,1.3804,8.02726,72.02215,-9999,727.76196,0.0196,0.1576,1.15696,0.09051,29.16084,78.7938,139.9292,17.97287,77.2016,15.95448,47.96011,12.44501,2.28194,13.24489,2.22791,5.50257,0.97349,4.97851,0.8121,0.08483,0.12767,8.32881,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: ZOB Unburn Throughfall
7/17/2014 0:00,ZOBUnburnStemflow,NM_P260,PrcpStemflow,,Grab,Precipitation,-9999,-9999,4.84,145.1,2,0.66,113.02,0.74,0.49,2.6,4.25,1.31,0.00191,39.67839,878.24849,1171.39274,177.63509,1315.9163,175.79035,15660.43036,8258.32218,4.3984,0.63785,0.1303,209.85271,174.79392,0.28298,2.2767,7.1666,65.08741,1.28867,0.33128,32.93562,281.18944,-9999,1103.21991,0.02555,0.33338,98.20016,0.09627,105.33089,269.03132,577.31259,78.63936,342.07362,66.76966,7.59608,53.84776,9.47422,54.47936,10.97377,29.20804,4.16438,25.87899,3.66815,0.08903,0.85723,32.00309,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: ZOB Unburn Stemflow
7/28/2014 12:00,RainColl_MCZOB,NM_P262,PrcpColl,119.5833333,Grab,Precipitation,5.98,-9999,2.25,27.89,1.84,0.66,15.55,0.74,0.49,37.07,13.61,3.15,0.00191,2.69863,289.46158,178.57648,11.18181,97.73688,168.79068,891.9275,3186.01176,1.45472,0.17834,0.33761,57.95887,57.44948,0.02615,1.53207,2.44967,83.07988,0.1373,1.33092,6.07012,15.14081,-9999,626.6258,0.01047,0.13671,0.23565,1.127,14.98516,26.28369,43.96279,5.38928,18.95254,5.08961,52.09237,4.27506,0.66158,3.31615,0.57278,0.94599,0.13778,2.13461,0.10908,0.0714,0.06811,1.68751,-9999,-9999,1.29,4.46,0.002,0.002,-27.98,-4.67,"Sampled by: Kate | Field Note:  | Filtering: 500| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/28/2014 12:05,RainColl_MCZOB_CC,NM_P263,PrcpColl,119.5833333,Grab,Precipitation,5.96,-9999,5.65,21.96,0.4,0.66,58.39,0.74,0.49,0.4,16.63,11.49,0.00191,7.62677,167.47543,558.57735,11.15106,209.92038,544.76899,8123.82727,2201.21667,1.06595,0.03565,0.36667,298.12467,45.60532,0.09492,1.35332,0.5516,10.26302,0.15509,3.03422,8.44656,14.76678,-9999,554.32558,0.00868,0.14527,0.18911,0.10576,30.88986,18.73233,25.09026,3.95961,17.73421,3.83524,42.52561,3.40918,0.37141,3.36222,0.65869,0.70765,0.21414,1.36602,0.0644,0.07467,0.05442,0.38387,-9999,-9999,1.52,1.3586,0.0093,0.0083,-28.47,-4.8,"Sampled by: Kate | Field Note:  | Filtering: 400| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/28/2014 15:40,RainColl_Burn_Low_OC,NM_P265,PrcpColl,171.5833333,Grab,Precipitation,5.67,-9999,1.88,2.81,1.09,0.66,4.32,0.74,0.49,25.84,12.7,0.755,0.00191,1.82936,90.04108,87.27443,5.46158,80.18682,95.5331,317.30861,1148.26055,1.21367,0.13615,0.4156,19.59227,25.97964,0.00066,0.68046,0.28561,3.29644,0.1358,0.33427,4.10682,17.04183,-9999,509.95653,0.00574,0.10327,0.11785,0.10068,12.33876,28.68642,36.00181,6.9495,25.85341,5.44404,54.27602,4.43461,0.80161,5.41102,0.41139,0.45398,0.06443,1.66619,0.07155,0.07705,0.02283,0.05771,-9999,-9999,-9999,-9999,-9999,-9999,-25.8,-4.45,"Sampled by: Kate | Field Note:  | Filtering: 500| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/23/2014 12:25,RainColl_MCZOB,NM_P268,PrcpColl,0.083333333,Grab,Precipitation,6.16,-9999,2.77,2.37,1.61,0.66,6.99,0.74,0.49,23.07,11.06,4.14,0.12314,3.57265,155.38418,137.93412,6.01408,120.77999,234.45527,685.3425,1605.77341,1.61618,0.16759,0.35107,33.94675,228.91236,0.03142,1.3082,0.78576,26.53373,0.15596,0.33382,7.24366,16.5669,-9999,762.57975,0.02022,0.13595,0.09528,0.6761,20.18862,25.97759,37.46675,3.89373,16.8504,4.20978,48.8684,2.51466,0.3283,2.10154,0.16086,0.3291,0.18479,0.31002,0.05465,0.07778,0.04657,1.3949,-9999,-9999,1.37,5.28,0.02,0.02,-63.59,-9,"Sampled by: Kate | Field Note:  | Filtering: 500| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/23/2014 12:30,RainColl_MCZOB_CC,NM_P269,PrcpColl,146.4166667,Grab,Precipitation,5.6,-9999,6.66,51.28,2.11,12.06,45.05,0.74,0.49,0.4,12.98,7.71,0.00191,8.02638,177.14595,614.71133,11.06189,207.52623,716.16895,7972.32892,2880.09714,0.03115,0.03253,0.2986,265.88279,225.73203,0.1088,1.45065,1.10062,20.4504,0.40105,0.67039,10.97281,13.98778,-9999,11.63165,0.00178,0.02349,0.06429,0.07325,46.52587,18.48196,30.10513,4.26493,17.98153,3.5988,32.16327,2.50354,0.53948,2.53022,0.44132,0.82597,0.23092,2.06386,0.07283,0.08028,0.20696,0.68184,-9999,-9999,1.3,0.56,0.01,0.01,-70.08,-10.3,"Sampled by: Kate | Field Note:  | Filtering: 500| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/21/2014 12:05,RainColl_Burn_Low_OC,NM_P271,PrcpColl,95.08333333,Grab,Precipitation,6.59,-9999,2.03,3.9,3.38,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00191,3.71566,223.4748,165.44846,3.74233,92.84023,257.94639,887.53017,1733.45737,1.86498,0.09155,0.37775,18.27119,26.94288,0.01811,0.67639,0.84667,7.26973,0.1117,0.67394,5.35749,11.67295,-9999,977.80916,0.02535,0.1945,0.06845,0.13164,16.20164,15.25063,18.5386,2.56229,9.29101,2.35267,52.25837,1.82691,0.05764,1.89144,0.28973,0.12641,0.2049,2.13354,0.12254,0.07443,0.03759,0.84881,-9999,-9999,1.47,3.56,0.02,0.01,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: 200| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/21/2014 12:10,RainColl_Burn_Low_CC,NM_P272,PrcpColl,95.08333333,Grab,Precipitation,6.2,-9999,2.24,10.15,0.84,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00191,7.2457,263.191,370.99485,19.373,75.45023,158.95124,2003.07743,2027.16253,1.07443,0.07227,0.39976,207.67098,47.36736,0.04141,0.75246,5.8157,9.35797,0.24599,2.03963,15.82324,14.30828,-9999,528.66407,0.01014,0.11169,0.06713,0.11199,32.51587,21.00948,40.62445,5.1884,20.83336,3.67551,41.64551,4.12336,0.58148,3.6219,0.42817,1.30235,0.27241,2.17986,0.0927,0.07825,0.20775,0.92623,-9999,-9999,1.47,3.02,0.02,0.02,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: 175| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/30/2014 8:55,RainColl_MCZOB,NM_P274,PrcpColl,44.91666667,Grab,Precipitation,-9999,-9999,1.34,2.74,0.85,0.66,3.17,0.74,0.49,18.16,5.12,0.755,0.23859,0.0522,65.74093,44.60352,6.13305,80,4.8118,88.36304,431.99707,0.49585,0.07589,0.3353,12.39262,3.53316,0.00322,0.32114,0.41287,84.77085,0.03717,1.29255,2.54162,6.14631,-9999,11.12395,0.00621,0.02202,0.0003,0.34492,5.2688,6.09521,10.57056,1.07911,4.33869,0.322,62.52031,1.62298,0.14946,0.18464,0.2886,0.80016,0.03568,0.46392,0.18981,0.08864,0.00661,0.12265,-9999,-9999,1.3,2.83747,0.0091,0.0069,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/30/2014 9:05,RainColl_MCZOB_CC,NM_P275,PrcpColl,45,Grab,Precipitation,-9999,-9999,4.37,19.22,2.13,0.66,26.93,0.74,0.49,0.4,9.62,7.55,0.11909,6.28,164.58697,455.07439,20.85084,180,352.1452,3436.95405,1590.18339,0.54081,0.058,0.24499,379.84143,7.67909,0.09661,0.61982,1.48317,11.05335,0.15739,0.64599,7.84376,32.4815,-9999,13.82812,0.01176,0.04727,0.04577,0.08944,29.29483,21.93761,40.88166,6.61264,26.14434,4.11543,48.60528,5.50251,0.45827,4.3709,0.88207,3.67601,0.40199,2.83744,0.67769,0.087,0.0695,1.03693,-9999,-9999,1.43,3.68565,0.0199,0.0164,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/30/2014 12:15,RainColl_Burn_Low_OC,NM_P276,PrcpColl,0,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00191,8.87,184.91649,238.02095,61.54342,110,190.696,2270.00389,1585.76252,1.46231,0.23319,0.35556,103.93934,24.10133,0.06565,0.39108,1.97259,6.21561,0.76122,2.59336,11.66271,61.5514,-9999,11.21869,0.00649,0.03574,0.02115,0.10833,24.58815,53.65201,119.42866,14.84363,59.64553,11.28384,52.4943,8.1933,1.67782,11.83153,1.95691,5.97508,0.64582,4.37998,0.64751,0.08363,0.89153,4.62016,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt with oil, open canopy"
7/30/2014 12:15,RainColl_Burn_Low_OC,NM_P277,PrcpColl,44.58333333,Grab,Precipitation,-9999,-9999,0.96,1.86,0.51,0.66,2.35,0.74,0.49,13.01,4.64,0.755,0.00191,0.532,44.42398,22.42173,3.78899,110,4.6013,245.70085,262.34194,0.3146,0.04397,0.19218,2.0162,2.15515,0.00176,0.15696,0.13167,1.33501,0.03052,1.93349,0.95597,3.72113,-9999,11.81559,0.00909,0.00581,0.0027,0.03038,1.62211,1.72833,5.48544,0.61768,3.0392,0.97075,64.40957,1.57878,0.0633,0.59148,0.14831,0.08024,0.15163,0.27198,0.13537,0.07603,0.01757,0.22244,-9999,-9999,1.57,1.76591,0.0151,0.0124,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/30/2014 12:20,RainColl_Burn_Low_CC,NM_P278,PrcpColl,44.58333333,Grab,Precipitation,-9999,-9999,3.73,21.63,1.57,0.66,11.69,0.74,0.49,16.2,6.37,3.6,0.00191,1.29,399.27709,271.57158,13.87649,90,2115.6246,3812.55043,400.2434,0.60053,0.05796,0.30038,21.58308,8.31472,0.00096,0.89397,1.51981,23.4699,0.05025,1.29147,3.69215,5.59226,-9999,16.55421,0.00858,0.01747,0.01685,0.53412,14.26753,7.90214,9.7664,1.61724,5.1543,1.39134,56.84023,0.91093,0.10229,1.85491,0.20437,0.35877,0.1696,1.03608,0.28033,0.10682,0.08091,0.46812,-9999,-9999,1.29,6.38,0.024,0.0191,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
8/1/2014 9:12,RainColl_MCZOB,NM_P279,PrcpColl,48.28333333,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.2466,10.4,331.89458,863.48898,27.65557,10,922.229,6751.37596,3027.16562,0.51251,0.07885,0.41945,463.24169,10.49002,0.12514,1.8188,4.09382,49.08145,0.12881,4.3424,14.9121,44.92428,-9999,25.53372,0.00806,0.06628,0.03548,0.14487,101.48651,31.30258,59.89364,8.95303,39.99997,2.85483,3.59262,9.30577,1.10447,6.31953,1.39202,4.25141,0.71993,4.54069,0.72599,0.08008,0.20272,2.76619,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt with oil, open canopy"
8/1/2014 9:13,RainColl_MCZOB,NM_P280,PrcpColl,0.016666667,Grab,Precipitation,-9999,-9999,13.73,21.6,17.59,0.66,45.73,0.74,0.49,0.4,29.51,68.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.66,2.28195,0.0048,0.0038,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
8/1/2014 9:16,RainColl_MCZOB_CC,NM_P281,PrcpColl,48.18333333,Grab,Precipitation,-9999,-9999,8.91,42.5,5.49,0.66,60.87,0.74,0.49,0.4,10.51,25.97,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.41,4.76412,0.0192,0.0154,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
8/1/2014 11:27,RainColl_Burn_Low_OC,NM_P283,PrcpColl,47.2,Grab,Precipitation,-9999,-9999,0.9,0.87,0.56,3.83,4.22,0.74,0.49,20.19,3.96,0.755,0.26792,7.00714,33.48999,29.77003,0.8862,7.29567,60.38504,79.86076,216.39689,0.55439,0.71102,0.0711,3.43144,3.43144,0.04328,0.18548,0.30914,2.93681,0.1556,0.95421,1.3396,6.64648,-9999,12.20066,0.0103,0.05152,0.03091,0.07213,1.98879,1.71984,1.07168,1.39112,3.43144,8.56313,0.59767,5.88393,0.38127,3.91884,0.28853,4.07032,1.87544,0.58736,0.28853,0.0103,0.10305,0.94802,-9999,-9999,1.34,1.8505,0.0195,0.0138,-53.5,-8.61,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
8/1/2014 11:33,RainColl_Burn_Low_CC,NM_P284,PrcpColl,47.21666667,Grab,Precipitation,-9999,-9999,5.73,19.67,2.57,0.66,15.9,2.28,0.49,71.64,10.42,4.94,0.17378,19.17117,304.62883,416.96326,81.94311,45.1832,396.63082,3137.1768,2944.6498,1.53132,1.22669,0.1748,107.62189,71.80245,0.26476,0.51112,1.3187,8.37525,1.31256,1.31624,20.37333,65.15786,-9999,11.49003,0.01022,0.05111,0.02044,0.14311,20.91512,55.75321,140.42571,14.45454,84.30449,17.42927,5.71435,17.20437,1.69693,16.69325,3.5063,12.12382,0.83824,8.15751,1.89115,0.12267,0.30667,9.93622,-9999,-9999,1.34,5.3729,0.1327,0.1055,-47.54,-7.99,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
8/5/2014 8:54,RainColl_MCZOB,NM_P286,PrcpColl,0.033333333,Grab,Precipitation,-9999,-9999,0.94,0.81,0.48,1.14,5.21,0.74,0.49,13.6,3.1,0.755,0.14997,7.69837,33.49293,29.68373,2.3795,17.29635,71.4849,240.9491,325.93115,0.41491,0.61987,0.11298,14.37696,4.94795,0.03999,0.29994,0.59987,96.62959,0.15597,0.64586,1.49968,4.49705,-9999,11.75752,0.03999,0.05999,0.00073,0.4799,5.00894,3.3293,4.84698,1.63965,9.84792,7.80835,1.48569,5.01894,0.9498,1.13976,0.84982,5.64881,0.72985,3.35429,1.19975,0.02999,0.09998,0.25995,-9999,-9999,1.4,4.13452,0.021,0.0148,-59.43,-9.18,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
8/5/2014 8:58,RainColl_MCZOB_CC,NM_P287,PrcpColl,95.7,Grab,Precipitation,-9999,-9999,4.4,9.56,1.55,0.66,13.13,0.74,0.49,0.4,4.57,11.57,0.00191,24.05378,22.10805,245.17826,11.79492,128.80748,578.9568,3275.89586,1219.34967,0.61878,0.06873,0.10413,144.41391,18.75362,0.14578,1.66193,0.66684,7.04689,0.17033,0.45348,4.36541,14.39318,-9999,10.87286,0.03107,0.02958,0.06478,0.05999,15.5236,11.68018,20.41171,4.51584,13.04355,1.64037,12.28395,3.07529,1.14538,3.21801,1.11867,2.84387,1.16149,2.35494,0.71872,0.1155,0.10876,6.84127,-9999,-9999,1.34,4.2,0.03,0.02,-61.7,-9.44,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
8/5/2014 11:37,RainColl_Burn_Low_OC,NM_P288,PrcpColl,0.116666667,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.38,2.5,0.02,0.02,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt with oil, open canopy"
8/5/2014 11:30,RainColl_Burn_Low_OC,NM_P289,PrcpColl,95.98333333,Grab,Precipitation,-9999,-9999,1.07,1.18,0.45,0.66,2.21,0.74,0.49,12.45,2.73,0.755,0.17456,20.99121,0.0131,24.95291,7.33229,47.83605,40.07318,73.01291,263.30806,0.5035,0.04511,0.11539,2.89955,3.95487,0.06294,1.48259,0.31057,3.66612,0.13029,0.54812,1.25005,0.95868,-9999,10.67087,0.04219,0.01806,0.05522,0.02015,2.54284,2.64758,2.60342,0.97317,1.67512,2.48329,11.67133,0.99637,0.66941,0.25363,0.73181,3.40453,0.5852,0.57026,0.59655,0.08021,0.04531,3.29188,-9999,-9999,1.39,0.94,0.03,0.02,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
8/5/2014 11:35,RainColl_Burn_Low_CC,NM_P290,PrcpColl,96.03333333,Grab,Precipitation,-9999,-9999,4.37,5.93,0.54,0.66,3.04,0.74,0.49,0.4,3.8,0.755,0.00191,24.50554,0.0131,161.97937,35.85934,171.03267,172.93069,1096.63366,1613.31683,1.10861,0.13181,0.13708,106.46949,35.85149,0.15817,1.36867,0.37182,4.95762,0.39614,0.05589,10.62691,23.38848,-9999,11.43328,0.03258,0.01997,0.05172,0.05838,14.17077,30.95464,64.4739,8.01428,26.93477,7.37484,12.1734,6.19567,1.50964,4.87835,1.40341,2.56456,0.87712,2.20364,0.69602,0.09232,0.0457,4.68073,-9999,-9999,1.35,6.14,0.04,0.03,-63.21,-9.61,"Sampled by: Kate | Field Note:  | Filtering: | Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
