DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,FI,HIX,SUVA254,SUVA280,SamplingNote
9/17/2013 16:00,RainColl_Burn_Low_OC,JEMEZ_P195,PrcpColl,291.8,Grab,Precipitation,6.3,44.1,4.33,4.459,4.551,2.085,5.85,1.67,0.95,0.255,7,24.11,0.0189735,0.00034,171.92,42.83,4.95,736.24,661,1222,101,1.45,0.014,0.09,2.65,7.15,0.03,0.0061235,2.41,6.99,0.37,0.0246,0.82,38.89,0.0189735,0.01,0.19,0.01255,0.007746,1.55,23.7,47.4,8.76,37.8,19.6,0.2146625,2.1,1.3,12.49,1.92,0.3154165,1.9,5,0.22,0.04,0.8,8.13,1.63,2.566,0.0377,0.0314,Sample description: bulk ppt w/o oil; closed canopy; Collected by Kate; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
9/19/2013 15:50,RainColl_MCZOB,JEMEZ_P196,PrcpColl,207.8,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sample description: bulk ppt with oil; open canopy; Collected by Kate; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
9/19/2013 15:50,RainColl_MCZOB,JEMEZ_P197,PrcpColl,207.8,Grab,Precipitation,6.65,9,0.3522,1.414,0.178,2.085,3.08,1.67,0.95,7.5,0.42,0.725,0.05,0.00034,324.26,70.32,4.25,492.25,51.4,133,496,1.53,0.014,0.11,34.3,2.68,0.03,0.0061235,0.1,13.6,0.26,0.22,2.11,3.5,0.0189735,0.008216,0.01,0.01255,0.09,6.2,4.28,1.9,0.125738,0.37777,1.99,0.2146625,0.4,0.6,4.7,0.52,0.3154165,0.1651365,0.6,0.31,0.0744985,0.04,0.25,-9999,-9999,-9999,-9999,Sample description: bulk ppt w/o oil; open canopy; Collected by Kate; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
9/19/2013 15:55,RainColl_MCZOB_CC,JEMEZ_P198,PrcpColl,207.9,Grab,Precipitation,6.1,30.3,1.244,13.96,0.337,2.085,32,1.67,0.95,0.255,0.42,0.725,0.0189735,0.31,378.24,276.01,13.03,517.27,213,4518,1341,1.2,0.014,0.14,140,6.05,0.1,0.0061235,0.53,10.26,0.47,0.1,4.96,25.55,0.0189735,0.008216,0.02,0.01,0.02,32.6,14.09,27.64,2.89,8.8,0.907093,0.18,2.1,2.2,5.5,1.08,2.49,0.1651365,2.4,0.0810555,0.0744985,0.06,1.9,-9999,-9999,-9999,-9999,Sample description: bulk ppt w/o oil; closed canopy; Collected by Kate; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
9/24/2013 13:30,RainColl_Burn_Low_OC,JEMEZ_P199,PrcpColl,165.5,Grab,Precipitation,5.79,11,1.359,1.024,0.2554,2.085,3.08,1.67,0.95,7.28,6.06,0.725,0.22,1.01,52.23,59.8,4.36,144,43.72,199.34,2202.71,1.02,0.17,0.01,0.7,34.35,0.02,0.23,0.3,0.61,0.6,0.41,3.87,4.94,0.0189735,0.008216,0.0122475,0.01255,0.05,4.71,4.23,14.51,2.92,26.39,14.41,2.72,0.453751,2.09,1.28,0.1514185,0.3154165,0.1651365,0.3098025,0.05,0.0744985,0.0061235,0.27,1.42,0.833,0.175,0.14,Sample description: bulk ppt w/o oil; open canopy; Collected by Mark; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
9/24/2013 13:30,RainColl_Burn_Low_OC,JEMEZ_P200,PrcpColl,165.5,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sample description: bulk ppt with oil; open canopy; Collected by Mark; Splits: none; sent to Troch lab; Bottles used: 1; Comment: no elk problems
9/24/2013 13:30,RainColl_Burn_Low_OC,JEMEZ_P201,PrcpColl,165.5,Grab,Precipitation,6.39,18.2,3.109,14.14,0.5765,2.085,8.51,1.67,0.95,5.05,5.65,0.725,0.06,5.34,137.15,177.58,30.81,100.23,181.72,206.24,2390.37,0.65,0.17,0.08,65.69,55.5,0.11,0.41,0.74,2.89,1.41,0.25,7.74,51.8,0.0189735,0.008216,0.0122475,0.01255,0.07,9.42,45.22,103.39,12.43,35.61,12.01,3.76,17.75,4.01,11.17,0.1514185,1.04,0.51,3.75,0.69,0.0744985,0.19,0.27,1.3,3.251,0.0279,0.0223,Sample description: bulk ppt w/o oil; closed canopy; Collected by Mark; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
9/25/2013 11:00,RainColl_MCZOB,JEMEZ_P202,PrcpColl,139.2,Grab,Precipitation,6.51,95.3,3.071,18.38,0.6961,2.085,15.24,1.67,0.95,0.255,6.4,0.725,0.06,6.68,68.87,419.24,15.02,36.23,253.48,203.52,3134.16,0.7,0.07,0.36,223.74,79.98,0.18,0.8,0.49,9.15,0.44,0.25,7.95,28.41,0.0189735,0.008216,0.0122475,0.01255,0.04,27.09,17.07,48.86,5.72,2.71,6.03,5.62,10.73,2.01,1.88,0.1514185,0.3154165,0.1651365,1.84,0.0810555,0.0744985,0.13,0.27,1.46,1.504,0.0176,0.0137,Sample description: bulk ppt w/o oil; open canopy; Collected by Mark; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
9/25/2013 11:00,RainColl_MCZOB,JEMEZ_P203,PrcpColl,139.2,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sample description: bulk ppt with oil; open canopy; Collected by Mark; Splits: none; sent to Troch lab; Bottles used: 1; Comment: no elk problems
9/25/2013 11:00,RainColl_MCZOB_CC,JEMEZ_P204,PrcpColl,139.1,Grab,Precipitation,6.93,44.7,3.401,2.873,0.1457,2.085,15.95,1.67,0.95,0.255,0.42,0.725,0.24,4.27,36.74,240.96,5.67,524,64.04,197.5,3594.58,0.65,0.06,0.0149,94,57.26,0.15,0.37,0.16,25.85,0.49,0.02,10.42,2.61,0.0189735,0.008216,0.0122475,0.01255,0.72,21.04,0.2274205,7.72,0.78,0.85,2.81,5.21,4.49,1.69,2.34,0.1514185,0.3154165,0.1651365,1.55,0.0810555,0.0744985,0.0061235,0.27,1.64,1.877,0.0171,0.0136,Sample description: bulk ppt w/o oil; closed canopy; Collected by Mark; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
10/18/2013 11:15,RainColl_MCZOB,JEMEZ_P205,PrcpColl,552.2,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Sample description: bulk ppt w/ oil; open canopy; Collected by Kate; Splits: none, sent to Troch lab; Bottles used: 1"
10/18/2013 11:15,RainColl_MCZOB,JEMEZ_P206,PrcpColl,552.2,Grab,Precipitation,7.01,36.7,3.172,2.434,0.7269,2.085,10.61,1.67,0.95,10.5,15.51,0.725,0.13,5.15,230.88,238.35,6.76,588,156.31,201.99,4948.79,0.73,0.29,0.1,38.98,47.99,0.13,0.77,0.45,12.33,0.38,0.1,15.01,8.23,0.0189735,0.008216,0.0122475,0.01255,0.42,24.68,10.9,23.34,3.8,8.33,0.907093,6.38,2.93,1.55,6.45,0.1514185,0.3154165,0.1651365,2.4,0.0810555,0.0744985,0.0061235,0.27,1.48,1.855,0.0288,0.0218,"Sample description: bulk ppt w/o oil; open canopy; Collected by Kate; Splits: TOC, anions, cat, DIC, nut; Bottles used: 1"
10/18/2013 12:00,RainColl_MCZOB_CC,JEMEZ_P207,PrcpColl,553,Grab,Precipitation,6.94,48.4,2.984,26.96,0.4359,2.085,38.42,1.67,0.95,0.255,11.24,6.33,0.2,11.1,297.62,506.16,15.56,642,260.03,202.46,3462.14,0.79,0.13,0.15,247.65,41.75,0.18,0.76,0.86,5.89,0.31,0.32,11.66,32.45,0.0189735,0.008216,0.0122475,0.01255,0.09,26.11,24.47,45.35,7.17,15.77,0.2,4.4,6.82,2.88,0.71,0.02,0.3154165,0.1651365,3.68,0.0810555,0.0744985,0.0061235,0.27,1.47,1.479,0.0137,0.0103,Sample description: bulk ppt w/o oil; closed canopy; Collected by Kate; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: funnel was knocked off the collector
10/29/2013 16:40,RainColl_Burn_Low_OC,JEMEZ_P208,PrcpColl,843.1,Grab,Precipitation,6.89,24.6,3.825,1.538,0.4379,2.085,6.39,1.67,0.95,18.01,12.63,0.725,0.16,1.14,158.93,196.9,4.36,33.96,61.57,200.92,3636.67,1.23,0.39,0.31,7.12,47.62,0.09,0.4,0.52,1.3,0.3,0.26,11.34,14.96,0.0189735,0.008216,0.0122475,0.01255,0.08,12.4,6.98,16.88,1.66,2.42,4.75,5.76,1.23,2.47,2.34,0.1514185,0.3154165,0.59,0.3098025,0.0810555,0.0744985,0.0061235,0.27,1.67,1.623,0.024,0.0188,"Sample description: bulk ppt w/o oil; open canopy; Collected by Kate; Splits: TOC, anions, cat, DIC, nut; Bottles used: 1"
10/29/2013 16:35,RainColl_Burn_Low_OC,JEMEZ_P209,PrcpColl,843.1,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sample description: bulk ppt w/ oil; open canopy; Collected by Kate; Splits: none; sent to Troch lab; Bottles used: 1; Comment: funnel was knocked off the collector
10/29/2013 16:40,RainColl_Burn_Low_OC,JEMEZ_P210,PrcpColl,843.1,Grab,Precipitation,7,63.6,0.7714,60.45,0.6278,12.03,38.46,1.67,0.95,17.21,22.09,52.09,0.23,12.88,377.39,1176.79,79.7,104,1632.5,202.9,4686.89,1.28,0.22,0.44,1012.86,39.56,0.32,1,1.42,13.38,1.21,0.41,56.17,51.31,0.0189735,0.008216,0.0122475,0.01255,0.11,62.97,46.74,103.43,10.95,6.19,9.84,12.37,7.81,2.38,8.92,0.1514185,1.32,0.59,2.58,0.14,0.0744985,0.56,5.17,-9999,-9999,-9999,-9999,Sample description: bulk ppt w/o oil; closed canopy; Collected by Kate; Splits: TOC; anions; cat; DIC; Bottles used: 1; Comment: funnel was knocked off the collector
