variable,plotted,skip_reason,n_rows,n_sites,n_studies,x_distinct,x_min,x_median,x_max,x_scale,spearman_r,spearman_p,plot_file
ve_11,TRUE,NA,12231,35,8,29,0.45217,0.98027,1.79707,linear,-0.23202204809642907,3.4972289248170655e-149,figures/scatter_DOC_vs_ve_11.png
qa_12,TRUE,NA,12291,38,8,28,0,3.715,2269.63,linear,0.012800645862948441,0.15588309294214722,figures/scatter_DOC_vs_qa_12.png
va_12,TRUE,NA,12231,35,8,28,0.30839,0.90536,2.58506,linear,-0.1015265956999891,2.1595655438488852e-29,figures/scatter_DOC_vs_va_12.png
qc_12,TRUE,NA,12291,38,8,27,0,4.498,1519.548,linear,-0.006880573411383223,0.4456156545416978,figures/scatter_DOC_vs_qc_12.png
vc_12,TRUE,NA,12231,35,8,28,0.30839,0.85223,2.20037,linear,-0.2121780502226868,1.6110486375030114e-124,figures/scatter_DOC_vs_vc_12.png
qe_12,TRUE,NA,12291,38,8,27,0,2.709,1235.948,linear,-0.09435752395977025,1.0312912541421043e-25,figures/scatter_DOC_vs_qe_12.png
ve_12,TRUE,NA,12231,35,8,28,0.30839,0.79026,2.22437,linear,-0.14963599822601986,3.522967588658506e-62,figures/scatter_DOC_vs_ve_12.png
lakefract,TRUE,NA,60,3,1,3,4.74094423644e-6,1.03268106683e-4,1,log10,0.06471290664547945,0.623260349930925,figures/scatter_DOC_vs_lakefract.png
surfarea,TRUE,NA,60,3,1,3,1751.90241116,38160.2558627,45226.8474539,linear,0.06471290664547945,0.623260349930925,figures/scatter_DOC_vs_surfarea.png
rareahload,TRUE,NA,60,3,1,3,16.789495564,19.3530879552,26.3706225342,linear,0.4303093277775205,5.99823790307045e-4,figures/scatter_DOC_vs_rareahload.png
rpuid,FALSE,fewer than 3 complete positive-DOC rows,0,0,0,0,NA,NA,NA,linear,NA,NA,NA
vpuid,TRUE,NA,3101,25,4,3,16,17,18,linear,-0.12049535035145763,1.6756090831798772e-11,figures/scatter_DOC_vs_vpuid.png
enabled,FALSE,fewer than 2 distinct x values,12291,38,8,1,1,1,1,linear,NA,NA,NA
huc2,FALSE,fewer than 3 complete positive-DOC rows,0,0,0,0,NA,NA,NA,linear,NA,NA,NA
huc4,FALSE,fewer than 3 complete positive-DOC rows,0,0,0,0,NA,NA,NA,linear,NA,NA,NA
huc6,FALSE,fewer than 3 complete positive-DOC rows,0,0,0,0,NA,NA,NA,linear,NA,NA,NA
huc8,FALSE,fewer than 3 complete positive-DOC rows,0,0,0,0,NA,NA,NA,linear,NA,NA,NA
huc10,FALSE,fewer than 3 complete positive-DOC rows,0,0,0,0,NA,NA,NA,linear,NA,NA,NA
huc12,FALSE,fewer than 3 complete positive-DOC rows,0,0,0,0,NA,NA,NA,linear,NA,NA,NA
burn_percent_fire_year,TRUE,NA,12291,38,8,18,0,1.5243,100,linear,-0.02115251302884994,0.01902235444139313,figures/scatter_DOC_vs_burn_percent_fire_year.png
fire_years_used,TRUE,NA,11366,28,6,5,2003,2010,2018,linear,0.6528870427936854,0,figures/scatter_DOC_vs_fire_years_used.png
burn_sev_high,TRUE,NA,11730,34,7,17,0,4.03,64.15,linear,0.029561486122847907,0.0013646801278773312,figures/scatter_DOC_vs_burn_sev_high.png
burn_sev_low,TRUE,NA,11730,34,7,18,0,2.74,13.88,linear,-0.006224903530847692,0.5002327146027816,figures/scatter_DOC_vs_burn_sev_low.png
burn_sev_mod,TRUE,NA,11730,34,7,18,0,3.58,25.98,linear,-0.03296081555519107,3.564163024067561e-4,figures/scatter_DOC_vs_burn_sev_mod.png
burn_sev_NA,FALSE,fewer than 2 distinct x values,561,4,1,1,0,0,0,linear,NA,NA,NA
