Study_ID,response_var,Pair,year,meanConc,Site,latitude,longitude,Area_watershed_km,Climate,Burn_Unburn,TempNorm,logTempNorm
Murphy et al. 2018,NO3_Interp,Site_1,2011,0.058923031328523286,DS1,40.039046,-105.393878,37,Cfb,Burn,0.00159251436,-6.442441153290165
Murphy et al. 2018,NO3_Interp,Site_1,2012,0.05481809259118778,DS1,40.039046,-105.393878,37,Cfb,Burn,0.00148157007,-6.514652895410314
Murphy et al. 2018,NO3_Interp,Site_1,2013,0.09939471810779962,DS1,40.039046,-105.393878,37,Cfb,Burn,0.002686343733,-5.91957421699138
Murphy et al. 2018,NO3_Interp,Site_1,2014,0.052348663468023346,DS1,40.039046,-105.393878,37,Cfb,Burn,0.001414828742,-6.560746785600397
Murphy et al. 2018,NO3_Interp,Site_1,2015,0.06345806690285359,DS1,40.039046,-105.393878,37,Cfb,Burn,0.001715082889,-6.368293867753751
Murphy et al. 2018,NO3_Interp,Site_2,2010,0.04485064583965844,DS2,40.041668,-105.364823,50,Cfb,Burn,8.97012917e-4,-7.016440295786195
Murphy et al. 2018,NO3_Interp,Site_2,2011,0.0919349310869699,DS2,40.041668,-105.364823,50,Cfb,Burn,0.001838698622,-6.2986972282473
Murphy et al. 2018,NO3_Interp,Site_2,2012,0.13115678371813408,DS2,40.041668,-105.364823,50,Cfb,Burn,0.002623135674,-5.943384854692418
Murphy et al. 2018,NO3_Interp,Site_2,2013,0.20794621124097717,DS2,40.041668,-105.364823,50,Cfb,Burn,0.004158924225,-5.482498837911264
Murphy et al. 2018,NO3_Interp,Site_2,2014,0.09211275499711014,DS2,40.041668,-105.364823,50,Cfb,Burn,0.0018422551,-6.296764859967082
Murphy et al. 2018,NO3_Interp,Site_2,2015,0.1108697556465798,DS2,40.041668,-105.364823,50,Cfb,Burn,0.002217395113,-6.1114221445609855
Murphy et al. 2018,NO3_Interp,Site_3,2011,0.04162957421451612,DS3,40.0155,-105.324566,63.1,Cfb,Burn,6.59739686e-4,-7.3236652158974325
Murphy et al. 2018,NO3_Interp,Site_3,2012,0.11091967838957222,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.001757839594,-6.343669727340565
Murphy et al. 2018,NO3_Interp,Site_3,2013,0.1704984887586678,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.002702036272,-5.913749615403959
Murphy et al. 2018,NO3_Interp,Site_3,2014,0.07669836826480128,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.001215505044,-6.712595614484086
Murphy et al. 2018,NO3_Interp,Site_3,2015,0.09400342465704908,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.001489753164,-6.509144834493158
Neary & Currier; 1982,NO3_Interp,Control,1978,3.6940361906589803,Crane Creek,34.937946,-83.093596,3.66,Cfa,Unburn,1.009299505645,0.00925653146269556
Neary & Currier; 1982,NO3_Interp,Control,1979,5.489955783774945,Crane Creek,34.937946,-83.093596,3.66,Cfa,Unburn,1.499987919064,0.4054570541183977
Neary & Currier; 1982,NO3_Interp,Site_1,1978,10.61755248090819,Wash Branch,34.920959,-83.0922,2.18,Cfa,Burn,4.870436917848,1.583183649260796
Neary & Currier; 1982,NO3_Interp,Site_1,1979,7.108640296277543,Wash Branch,34.920959,-83.0922,2.18,Cfa,Burn,3.260844172604,1.1819861105087348
Oliver et al. 2012,NO3_Interp,Control,2008,0.018598735691163274,Site_1,38.868,-120.062,2.7135,Csb,Unburn,0.006854149877,-4.9829009886838875
Oliver et al. 2012,NO3_Interp,Control,2009,0.04166734842892023,Site_1,38.868,-120.062,2.7135,Csb,Unburn,0.015355573403,-4.176276782706157
Oliver et al. 2012,NO3_Interp,Site_1,2007,0.076153846175,Site_2,38.88,-120.041,6.64,Csb,Burn,0.011468952737,-4.468111656542936
Oliver et al. 2012,NO3_Interp,Site_1,2008,0.09299980843278689,Site_2,38.88,-120.041,6.64,Csb,Burn,0.014005995246,-4.268269809174829
Oliver et al. 2012,NO3_Interp,Site_1,2009,0.05944009300384615,Site_2,38.88,-120.041,6.64,Csb,Burn,0.008951821236,-4.7158982773408
Oliver et al. 2012,NO3_Interp,Site_2,2007,0.08632143899386303,Site_3,38.879,-120.03,8.39,Csb,Burn,0.01028861013,-4.576717808229795
Oliver et al. 2012,NO3_Interp,Site_2,2008,0.06408831222857216,Site_3,38.879,-120.03,8.39,Csb,Burn,0.007638654616,-4.8745337886928715
Oliver et al. 2012,NO3_Interp,Site_2,2009,0.022016848995088583,Site_3,38.879,-120.03,8.39,Csb,Burn,0.002624177473,-5.942987775659967
Oliver et al. 2012,NO3_Interp,Site_3,2008,0.029323977407554422,Site_4,38.873,-120.013,15.03,Csb,Burn,0.001951029768,-6.239397959641058
Oliver et al. 2012,NO3_Interp,Site_3,2009,0.026353674044963145,Site_4,38.873,-120.013,15.03,Csb,Burn,0.001753404793,-6.346195785267272
Rhea et al. 2021,NO3_Interp,Control,2017,0.004947349549019608,U1,40.26237,-105.590804,7.04,Dfc,Unburn,7.02748515e-4,-7.260511461306867
Rhea et al. 2021,NO3_Interp,Site_1,2017,0.06623799727777778,B1,-9999,-9999,3.25,Dfc,Burn,0.020380922239,-3.893156000052427
Tiedemann; 1973,NO3_Interp,Control,1970,0.004037362375930521,Grade Creek,48.02142,-120.255581,28,Dsb,Unburn,1.44191513e-4,-8.844368190601388
Tiedemann; 1973,NO3_Interp,Control,1971,0.0023489931300330123,Grade Creek,48.02142,-120.255581,28,Dsb,Unburn,8.3892612e-5,-9.385973005579343
Tiedemann; 1973,NO3_Interp,Control,1972,0.0016946691401043177,Grade Creek,48.02142,-120.255581,28,Dsb,Unburn,6.0523898e-5,-9.712472262658242
Tiedemann; 1973,NO3_Interp,Site_1,1970,0.0019752484339533418,Camas Creek,48.035327,-120.291846,6.8,Dsb,Burn,2.90477711e-4,-8.143983710949831
Tiedemann; 1973,NO3_Interp,Site_1,1971,0.004355564887311924,Camas Creek,48.035327,-120.291846,6.8,Dsb,Burn,6.40524248e-4,-7.353223579420581
Tiedemann; 1973,NO3_Interp,Site_1,1972,0.012961342099009903,Camas Creek,48.035327,-120.291846,6.8,Dsb,Burn,0.00190607972,-6.26270664881158
Uzun et al. 2020,NO3_Interp,Control,2016,0.04765627050434783,Reference First Rainy Season,38.451372,122.056381,78,Csa,Unburn,6.10977827e-4,-7.4004498891402
Uzun et al. 2020,NO3_Interp,Control,2017,0.08798216978525981,Reference First Rainy Season,38.451372,122.056381,78,Csa,Unburn,0.001127976536,-6.787329927541062
Uzun et al. 2020,NO3_Interp,Site_1,2016,0.17687060782608696,Rocky Fire First Rainy Season Initial Flush,38.923564,122.326478,3017,Csa,Burn,5.8624663e-5,-9.744355079615206
Uzun et al. 2020,NO3_Interp,Site_1,2017,0.27282199026776244,Rocky Fire First Rainy Season Initial Flush,38.923564,122.326478,3017,Csa,Burn,9.0428237e-5,-9.310953983144493
Uzun et al. 2020,NO3_Interp,Site_2,2016,0.22384614720823798,Wragg Fire First Rainy Season Initial Flush,38.512031,122.097228,1491.4917,Csa,Burn,1.5008206e-4,-8.804328346787766
Uzun et al. 2020,NO3_Interp,Site_2,2017,0.2506659955959942,Wragg Fire First Rainy Season Initial Flush,38.512031,122.097228,1491.4917,Csa,Burn,1.68063956e-4,-8.691165960529059
Writer et al. 2014,NO3_Interp,Control,2012,0.021614099288433868,PBR,40.699423,-105.54509,618.46,Dfb,Unburn,3.4948257e-5,-10.261641961772701
Writer et al. 2014,NO3_Interp,Control,2013,0.03911833935860323,PBR,40.699423,-105.54509,618.46,Dfb,Unburn,6.3251204e-5,-9.668396394964697
Writer et al. 2014,NO3_Interp,Site_1,2012,0.035046205753232404,PNF,40.703249,-105.242396,1255.15,Dfb,Burn,2.7921926e-5,-10.486098299641284
Writer et al. 2014,NO3_Interp,Site_1,2013,0.037971666816396764,PNF,40.703249,-105.242396,1255.15,Dfb,Burn,3.0252692e-5,-10.405925385711416
